gene,stratum,perc_id_hp,block,layer,n_layers,representation,condition,gen_bp,n_samples,v_norm,q_loo,alpha_own,aa_id_to_target,nt_id_to_target,indel_bp,indel_events,n_stop_codons,premature_stop,temperature,top_k,n_voting_species,pct_diagnostic_correct,n_diagnostic_scorable,pct_private_bp_correct,n_private_bp_scorable
ENSG00000188811,1,70.0288,6243,blocks.27,1,cds_mean,add_a1.0,996,5,"{""27"": 5.6313}","{""27"": 5.4498}","{""27"": 0.9678}",11.56,40.1,64.8,28.0,7.8,0.8,,,13.0,40.90163934426229,244.0,40.16806722689076,119.0
ENSG00000188811,1,70.0288,6243,blocks.27,1,cds_mean,add_own,996,5,"{""27"": 5.6313}","{""27"": 5.4498}","{""27"": 0.9678}",12.03,38.378,54.0,28.4,4.8,0.6,,,13.0,43.27868852459016,244.0,43.52941176470589,119.0
ENSG00000188811,1,70.0288,6243,blocks.27,1,cds_mean,random_a1.0,996,5,"{""27"": 5.6313}","{""27"": 5.4498}","{""27"": 0.9678}",11.582,39.004000000000005,60.8,30.0,3.4,0.6,,,13.0,37.459016393442624,244.0,36.134453781512605,119.0
ENSG00000004534,2,76.5806,24,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6319}","{""27"": 5.1864}","{""27"": 0.9209}",12.748,43.758,74.8,35.0,8.4,0.6,,,19.0,42.52873563218391,174.0,42.1875,64.0
ENSG00000004534,2,76.5806,24,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6319}","{""27"": 5.1864}","{""27"": 0.9209}",15.688,44.292,74.4,35.6,3.0,0.2,,,19.0,43.5632183908046,174.0,42.8125,64.0
ENSG00000004534,2,76.5806,24,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6319}","{""27"": 5.1864}","{""27"": 0.9209}",14.024,42.768,69.2,33.2,2.2,0.6,,,19.0,41.03448275862069,174.0,41.25,64.0
ENSG00000004534,2,76.5806,24,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6319}","{""27"": 5.1864}","{""27"": 0.9209}",14.54,39.11,55.2,26.0,3.8,0.4,,,19.0,35.05747126436781,174.0,32.8125,64.0
ENSG00000178031,3,84.2792,5709,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6329}","{""27"": 4.7916}","{""27"": 0.8506}",11.33,42.156,68.0,36.4,3.2,0.4,,,18.0,40.27210884353742,147.0,41.1764705882353,51.0
ENSG00000178031,3,84.2792,5709,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6329}","{""27"": 4.7916}","{""27"": 0.8506}",13.214,41.428,65.2,32.6,0.4,0.4,,,18.0,43.40136054421769,147.0,45.49019607843137,51.0
ENSG00000178031,3,84.2792,5709,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6329}","{""27"": 4.7916}","{""27"": 0.8506}",10.526,40.198,65.6,31.4,4.6,0.8,,,18.0,35.23809523809524,147.0,40.3921568627451,51.0
ENSG00000178031,3,84.2792,5709,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6329}","{""27"": 4.7916}","{""27"": 0.8506}",12.072,41.264,70.0,35.2,6.6,0.4,,,18.0,39.04761904761905,147.0,45.09803921568628,51.0
ENSG00000112306,4,100.0,1751,none,0,cds_mean,unsteered,309,10,"{""27"": 5.6288}","{""27"": 6.3733}","{""27"": 1.1322}",74.79400000000001,72.00399999999999,12.4,2.0,1.4,0.3,,,12.0,22.55813953488372,43.0,19.285714285714285,14.0
ENSG00000112306,4,100.0,1751,blocks.27,1,cds_mean,add_a1.0,309,10,"{""27"": 5.6288}","{""27"": 6.3733}","{""27"": 1.1322}",65.968,69.11699999999999,8.8,4.8,2.1,0.5,,,12.0,31.395348837209305,43.0,28.571428571428573,14.0
ENSG00000112306,4,100.0,1751,blocks.27,1,cds_mean,add_own,309,10,"{""27"": 5.6288}","{""27"": 6.3733}","{""27"": 1.1322}",68.39,68.467,6.6,3.4,2.8,0.4,,,12.0,31.627906976744185,43.0,25.71428571428571,14.0
ENSG00000112306,4,100.0,1751,blocks.27,1,cds_mean,random_a1.0,309,10,"{""27"": 5.6288}","{""27"": 6.3733}","{""27"": 1.1322}",90.293,81.369,0.8,0.5,1.3,0.1,,,12.0,14.41860465116279,43.0,7.142857142857143,14.0
ENSG00000137868,0,54.7226,3214,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6288}","{""27"": 6.4056}","{""27"": 1.138}",11.436,41.824,65.2,32.2,3.2,0.4,,,20.0,39.52662721893491,338.0,38.18181818181817,77.0
ENSG00000137868,0,54.7226,3214,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6288}","{""27"": 6.4056}","{""27"": 1.138}",10.34,37.536,45.2,24.4,1.0,0.6,,,20.0,33.84615384615385,338.0,30.909090909090907,77.0
ENSG00000137868,0,54.7226,3214,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6288}","{""27"": 6.4056}","{""27"": 1.138}",12.962,41.336,63.2,28.8,0.4,0.2,,,20.0,38.87573964497041,338.0,34.80519480519481,77.0
ENSG00000137868,0,54.7226,3214,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6288}","{""27"": 6.4056}","{""27"": 1.138}",12.094,42.376,75.2,34.0,1.2,0.4,,,20.0,42.18934911242604,338.0,40.77922077922078,77.0
ENSG00000164761,1,69.5761,4758,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6326}","{""27"": 4.9012}","{""27"": 0.8701}",12.218,42.256,81.2,37.0,7.0,0.8,,,15.0,42.17687074829932,294.0,39.8,100.0
ENSG00000164761,1,69.5761,4758,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6326}","{""27"": 4.9012}","{""27"": 0.8701}",11.114,43.732,68.8,35.0,8.8,0.8,,,15.0,48.84353741496599,294.0,48.6,100.0
ENSG00000164761,1,69.5761,4758,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6326}","{""27"": 4.9012}","{""27"": 0.8701}",11.96,43.508,73.2,34.2,5.0,0.6,,,15.0,44.89795918367347,294.0,43.2,100.0
ENSG00000164761,1,69.5761,4758,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6326}","{""27"": 4.9012}","{""27"": 0.8701}",10.632,42.026,71.2,33.6,18.8,1.0,,,15.0,42.31292517006803,294.0,39.2,100.0
ENSG00000168237,2,73.4226,5097,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6318}","{""27"": 5.2182}","{""27"": 0.9266}",15.25,43.858,80.0,36.6,7.4,0.6,,,21.0,42.37885462555066,227.0,43.27272727272727,55.0
ENSG00000168237,2,73.4226,5097,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6318}","{""27"": 5.2182}","{""27"": 0.9266}",14.604,45.588,73.2,34.2,2.2,0.6,,,21.0,46.25550660792952,227.0,44.72727272727273,55.0
ENSG00000168237,2,73.4226,5097,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6318}","{""27"": 5.2182}","{""27"": 0.9266}",15.81,45.134,62.4,33.8,2.4,0.6,,,21.0,45.02202643171806,227.0,43.27272727272727,55.0
ENSG00000168237,2,73.4226,5097,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6318}","{""27"": 5.2182}","{""27"": 0.9266}",14.18,45.232,75.2,39.0,5.2,0.6,,,21.0,43.87665198237885,227.0,38.90909090909091,55.0
ENSG00000115474,3,87.7778,4071,none,0,cds_mean,unsteered,990,5,"{""27"": 5.6281}","{""27"": 6.7268}","{""27"": 1.1952}",16.534,43.6,67.6,33.0,11.6,0.6,,,20.0,39.78021978021978,182.0,40.821917808219176,73.0
ENSG00000115474,3,87.7778,4071,blocks.27,1,cds_mean,add_a1.0,990,5,"{""27"": 5.6281}","{""27"": 6.7268}","{""27"": 1.1952}",13.978,43.878,64.4,35.8,1.6,0.4,,,20.0,42.527472527472526,182.0,42.465753424657535,73.0
ENSG00000115474,3,87.7778,4071,blocks.27,1,cds_mean,add_own,990,5,"{""27"": 5.6281}","{""27"": 6.7268}","{""27"": 1.1952}",13.342000000000002,43.038,60.8,33.2,4.6,0.6,,,20.0,43.84615384615385,182.0,42.465753424657535,73.0
ENSG00000115474,3,87.7778,4071,blocks.27,1,cds_mean,random_a1.0,990,5,"{""27"": 5.6281}","{""27"": 6.7268}","{""27"": 1.1952}",12.972,41.918,57.2,30.4,17.8,0.8,,,20.0,37.8021978021978,182.0,41.64383561643835,73.0
ENSG00000164548,4,98.5816,6220,none,0,cds_mean,unsteered,759,5,"{""27"": 5.6329}","{""27"": 4.7715}","{""27"": 0.8471}",77.668,73.14,51.2,8.2,1.0,0.8,,,20.0,40.5940594059406,101.0,30.37037037037037,27.0
ENSG00000164548,4,98.5816,6220,blocks.27,1,cds_mean,add_a1.0,759,5,"{""27"": 5.6329}","{""27"": 4.7715}","{""27"": 0.8471}",62.066,62.392,34.4,10.4,1.8,0.4,,,20.0,40.79207920792079,101.0,39.25925925925926,27.0
ENSG00000164548,4,98.5816,6220,blocks.27,1,cds_mean,add_own,759,5,"{""27"": 5.6329}","{""27"": 4.7715}","{""27"": 0.8471}",89.64,75.518,13.6,4.4,0.0,0.0,,,20.0,40.3960396039604,101.0,31.111111111111107,27.0
ENSG00000164548,4,98.5816,6220,blocks.27,1,cds_mean,random_a1.0,759,5,"{""27"": 5.6329}","{""27"": 4.7715}","{""27"": 0.8471}",79.76,74.75800000000001,35.2,5.6,3.0,0.8,,,20.0,38.21782178217822,101.0,22.22222222222222,27.0
ENSG00000179988,0,57.8212,5804,none,0,cds_mean,unsteered,954,5,"{""27"": 5.6294}","{""27"": 6.203}","{""27"": 1.1019}",12.33,40.798,48.8,27.8,0.6,0.6,,,19.0,45.38961038961039,308.0,41.17647058823529,85.0
ENSG00000179988,0,57.8212,5804,blocks.27,1,cds_mean,add_a1.0,954,5,"{""27"": 5.6294}","{""27"": 6.203}","{""27"": 1.1019}",12.16,42.838,59.2,30.0,2.4,0.8,,,19.0,49.74025974025974,308.0,50.11764705882353,85.0
ENSG00000179988,0,57.8212,5804,blocks.27,1,cds_mean,add_own,954,5,"{""27"": 5.6294}","{""27"": 6.203}","{""27"": 1.1019}",12.868,41.596,52.4,29.0,1.4,0.8,,,19.0,47.33766233766234,308.0,46.352941176470594,85.0
ENSG00000179988,0,57.8212,5804,blocks.27,1,cds_mean,random_a1.0,954,5,"{""27"": 5.6294}","{""27"": 6.203}","{""27"": 1.1019}",10.096,40.86,60.8,28.8,2.2,1.0,,,19.0,44.090909090909086,308.0,45.17647058823529,85.0
ENSG00000167992,1,67.2251,5076,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6335}","{""27"": 4.5369}","{""27"": 0.8053}",15.924,43.02,55.2,28.8,3.8,0.8,,,16.0,39.70149253731343,268.0,36.12903225806451,62.0
ENSG00000167992,1,67.2251,5076,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6335}","{""27"": 4.5369}","{""27"": 0.8053}",17.06,43.402,55.2,26.8,0.8,0.6,,,16.0,37.61194029850746,268.0,29.354838709677416,62.0
ENSG00000167992,1,67.2251,5076,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6335}","{""27"": 4.5369}","{""27"": 0.8053}",17.084,42.894,65.6,26.2,0.8,0.8,,,16.0,36.04477611940298,268.0,28.387096774193548,62.0
ENSG00000167992,1,67.2251,5076,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6335}","{""27"": 4.5369}","{""27"": 0.8053}",13.874,40.392,46.8,25.4,2.4,0.8,,,16.0,38.80597014925373,268.0,36.12903225806451,62.0
ENSG00000187837,2,80.2817,6261,none,0,cds_mean,unsteered,507,5,"{""27"": 5.6425}","{""27"": 0.9657}","{""27"": 0.1711}",59.916,64.52000000000001,29.6,9.8,1.0,0.8,,,15.0,49.898989898989896,99.0,25.71428571428571,14.0
ENSG00000187837,2,80.2817,6261,blocks.27,1,cds_mean,add_a1.0,507,5,"{""27"": 5.6425}","{""27"": 0.9657}","{""27"": 0.1711}",56.764,65.136,40.4,12.6,1.0,0.8,,,15.0,51.31313131313132,99.0,14.285714285714286,14.0
ENSG00000187837,2,80.2817,6261,blocks.27,1,cds_mean,add_own,507,5,"{""27"": 5.6425}","{""27"": 0.9657}","{""27"": 0.1711}",63.71,68.096,33.6,10.4,0.6,0.6,,,15.0,51.71717171717172,99.0,17.142857142857142,14.0
ENSG00000187837,2,80.2817,6261,blocks.27,1,cds_mean,random_a1.0,507,5,"{""27"": 5.6425}","{""27"": 0.9657}","{""27"": 0.1711}",66.322,68.974,34.8,10.4,0.8,0.6,,,15.0,51.11111111111111,99.0,17.142857142857142,14.0
ENSG00000131503,3,85.9559,2743,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6361}","{""27"": 3.4943}","{""27"": 0.62}",15.976,45.29,66.4,32.6,0.4,0.2,,,21.0,53.93617021276596,188.0,54.76923076923077,65.0
ENSG00000131503,3,85.9559,2743,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6361}","{""27"": 3.4943}","{""27"": 0.62}",14.338,44.49,50.8,27.2,0.2,0.2,,,21.0,55.0,188.0,55.69230769230769,65.0
ENSG00000131503,3,85.9559,2743,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6361}","{""27"": 3.4943}","{""27"": 0.62}",12.852,43.29,63.2,29.4,4.8,0.8,,,21.0,51.38297872340426,188.0,53.84615384615385,65.0
ENSG00000131503,3,85.9559,2743,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6361}","{""27"": 3.4943}","{""27"": 0.62}",14.444,45.402,68.4,33.4,0.6,0.4,,,21.0,54.25531914893617,188.0,56.0,65.0
ENSG00000160075,4,89.6907,4355,none,0,cds_mean,unsteered,420,9,"{""27"": 5.6327}","{""27"": 4.8657}","{""27"": 0.8638}",65.18,69.96777777777778,7.111111111111111,4.222222222222222,2.2222222222222223,0.4444444444444444,,,20.0,38.29787234042553,47.0,25.925925925925927,3.0
ENSG00000160075,4,89.6907,4355,blocks.27,1,cds_mean,add_a1.0,420,9,"{""27"": 5.6327}","{""27"": 4.8657}","{""27"": 0.8638}",46.66444444444445,60.52222222222221,15.77777777777778,7.555555555555555,0.6666666666666666,0.2222222222222222,,,20.0,34.2789598108747,47.0,25.925925925925927,3.0
ENSG00000160075,4,89.6907,4355,blocks.27,1,cds_mean,add_own,420,9,"{""27"": 5.6327}","{""27"": 4.8657}","{""27"": 0.8638}",62.59888888888889,68.10777777777778,12.22222222222222,5.111111111111111,0.8888888888888888,0.2222222222222222,,,20.0,35.69739952718676,47.0,0.0,3.0
ENSG00000160075,4,89.6907,4355,blocks.27,1,cds_mean,random_a1.0,420,9,"{""27"": 5.6327}","{""27"": 4.8657}","{""27"": 0.8638}",64.89222222222222,70.83,9.77777777777778,5.777777777777778,1.4444444444444444,0.4444444444444444,,,20.0,35.22458628841608,47.0,33.333333333333336,3.0
ENSG00000124145,0,59.0909,2366,none,0,cds_mean,unsteered,513,5,"{""27"": 5.6367}","{""27"": 3.2618}","{""27"": 0.5787}",12.668,42.024,28.8,13.0,3.6,0.4,,,18.0,42.53731343283582,134.0,49.0,20.0
ENSG00000124145,0,59.0909,2366,blocks.27,1,cds_mean,add_a1.0,513,5,"{""27"": 5.6367}","{""27"": 3.2618}","{""27"": 0.5787}",11.11,44.178,39.6,18.6,0.2,0.2,,,18.0,45.52238805970149,134.0,51.0,20.0
ENSG00000124145,0,59.0909,2366,blocks.27,1,cds_mean,add_own,513,5,"{""27"": 5.6367}","{""27"": 3.2618}","{""27"": 0.5787}",11.97,43.286,35.6,15.2,0.6,0.2,,,18.0,41.64179104477612,134.0,50.0,20.0
ENSG00000124145,0,59.0909,2366,blocks.27,1,cds_mean,random_a1.0,513,5,"{""27"": 5.6367}","{""27"": 3.2618}","{""27"": 0.5787}",10.616,43.796,40.4,19.6,3.2,0.6,,,18.0,47.3134328358209,134.0,53.0,20.0
ENSG00000111906,1,69.6078,1725,none,0,cds_mean,unsteered,681,5,"{""27"": 5.6233}","{""27"": 8.6282}","{""27"": 1.5344}",44.724,57.056,22.0,12.6,3.6,0.8,,,19.0,28.275862068965523,116.0,10.0,4.0
ENSG00000111906,1,69.6078,1725,blocks.27,1,cds_mean,add_a1.0,681,5,"{""27"": 5.6233}","{""27"": 8.6282}","{""27"": 1.5344}",46.334,60.234,21.6,12.4,2.8,1.0,,,19.0,42.41379310344828,116.0,15.0,4.0
ENSG00000111906,1,69.6078,1725,blocks.27,1,cds_mean,add_own,681,5,"{""27"": 5.6233}","{""27"": 8.6282}","{""27"": 1.5344}",30.792,53.10799999999999,33.6,16.2,4.2,0.8,,,19.0,48.96551724137932,116.0,15.0,4.0
ENSG00000111906,1,69.6078,1725,blocks.27,1,cds_mean,random_a1.0,681,5,"{""27"": 5.6233}","{""27"": 8.6282}","{""27"": 1.5344}",52.016,61.04600000000001,18.0,10.4,2.6,1.0,,,19.0,28.620689655172413,116.0,0.0,4.0
ENSG00000223802,2,75.4286,6716,none,0,cds_mean,unsteered,951,5,"{""27"": 5.6321}","{""27"": 5.1284}","{""27"": 0.9106}",10.906,40.938,50.0,26.4,8.0,0.8,,,14.0,41.96531791907515,173.0,38.28571428571429,70.0
ENSG00000223802,2,75.4286,6716,blocks.27,1,cds_mean,add_a1.0,951,5,"{""27"": 5.6321}","{""27"": 5.1284}","{""27"": 0.9106}",11.684,44.4,52.8,30.6,4.0,0.8,,,14.0,43.8150289017341,173.0,37.71428571428571,70.0
ENSG00000223802,2,75.4286,6716,blocks.27,1,cds_mean,add_own,951,5,"{""27"": 5.6321}","{""27"": 5.1284}","{""27"": 0.9106}",10.826,42.054,41.2,26.0,0.6,0.4,,,14.0,41.04046242774567,173.0,35.71428571428571,70.0
ENSG00000223802,2,75.4286,6716,blocks.27,1,cds_mean,random_a1.0,951,5,"{""27"": 5.6321}","{""27"": 5.1284}","{""27"": 0.9106}",11.194,43.122,49.2,32.2,5.8,0.8,,,14.0,44.6242774566474,173.0,42.85714285714285,70.0
ENSG00000135686,3,84.5779,930,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6319}","{""27"": 5.1809}","{""27"": 0.9199}",39.02,58.178,29.2,14.0,0.6,0.2,,,18.0,38.75776397515528,161.0,29.77777777777778,45.0
ENSG00000135686,3,84.5779,930,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6319}","{""27"": 5.1809}","{""27"": 0.9199}",24.974,51.422,37.6,18.6,0.0,0.0,,,18.0,43.47826086956522,161.0,37.33333333333333,45.0
ENSG00000135686,3,84.5779,930,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6319}","{""27"": 5.1809}","{""27"": 0.9199}",22.056,50.576,46.0,20.8,0.0,0.0,,,18.0,41.49068322981366,161.0,36.44444444444444,45.0
ENSG00000135686,3,84.5779,930,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6319}","{""27"": 5.1809}","{""27"": 0.9199}",31.832,55.004,28.8,13.0,0.0,0.0,,,18.0,42.36024844720497,161.0,34.666666666666664,45.0
ENSG00000136709,4,93.8623,3111,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6319}","{""27"": 5.2016}","{""27"": 0.9236}",11.908,43.572,80.0,37.0,9.8,0.8,,,20.0,43.04761904761905,105.0,46.4,25.0
ENSG00000136709,4,93.8623,3111,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6319}","{""27"": 5.2016}","{""27"": 0.9236}",12.2,45.0,91.6,41.0,4.2,0.2,,,20.0,47.04761904761905,105.0,47.2,25.0
ENSG00000136709,4,93.8623,3111,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6319}","{""27"": 5.2016}","{""27"": 0.9236}",11.712,42.71,70.4,35.0,7.4,0.4,,,20.0,45.90476190476191,105.0,45.6,25.0
ENSG00000136709,4,93.8623,3111,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6319}","{""27"": 5.2016}","{""27"": 0.9236}",10.45,42.714,69.6,34.0,4.4,0.6,,,20.0,42.095238095238095,105.0,44.8,25.0
ENSG00000100629,0,59.3236,1037,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.631}","{""27"": 5.5568}","{""27"": 0.9868}",11.63,42.418,71.6,35.6,9.2,1.0,,,19.0,43.1060606060606,264.0,46.0,80.0
ENSG00000100629,0,59.3236,1037,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.631}","{""27"": 5.5568}","{""27"": 0.9868}",11.762,41.25,66.4,34.2,1.4,0.8,,,19.0,43.257575757575765,264.0,44.5,80.0
