gene,n_aligned_bp,cds_len_human,cds_len_platypus,retained_frac
ENSG00000010292,3630,4206,4176,0.8630527817403709
ENSG00000179958,351,513,522,0.6842105263157895
ENSG00000119698,2406,2622,2577,0.9176201372997712
ENSG00000100060,804,966,909,0.8322981366459627
ENSG00000122367,1668,2184,2334,0.7637362637362637
ENSG00000076650,2397,2796,2769,0.8572961373390557
ENSG00000140368,1020,1251,1359,0.815347721822542
ENSG00000122512,2211,2589,2853,0.8539976825028969
ENSG00000177694,2313,2388,2367,0.9685929648241206
ENSG00000198746,1218,1578,1494,0.7718631178707225
ENSG00000109576,1245,1278,1278,0.9741784037558684
ENSG00000119725,1149,1437,1497,0.7995824634655533
ENSG00000128805,1719,2097,2166,0.8197424892703863
ENSG00000293543,501,567,564,0.8835978835978836
ENSG00000066827,3129,3732,3591,0.8384244372990354
ENSG00000123388,660,915,912,0.7213114754098361
ENSG00000132561,2484,2871,2667,0.8652037617554859
ENSG00000174796,594,669,657,0.8878923766816144
ENSG00000189306,744,843,864,0.8825622775800712
ENSG00000147912,2520,2871,2901,0.877742946708464
ENSG00000160049,795,996,975,0.7981927710843374
ENSG00000205730,1311,1608,1575,0.8152985074626866
ENSG00000178409,2133,2487,2604,0.8576598311218335
ENSG00000147642,1656,1992,2430,0.8313253012048193
ENSG00000138439,1359,1770,1932,0.7677966101694915
ENSG00000127564,1137,1500,1629,0.758
ENSG00000114446,1170,1290,1248,0.9069767441860463
ENSG00000004534,2862,3372,3564,0.8487544483985765
ENSG00000168237,1419,1572,1569,0.9026717557251908
ENSG00000187837,375,642,687,0.5841121495327103
ENSG00000223802,942,1053,1053,0.8945868945868946
ENSG00000198774,1275,1308,1308,0.9747706422018348
ENSG00000146215,552,615,624,0.8975609756097561
ENSG00000187796,1548,1611,1836,0.9608938547486032
ENSG00000108423,1329,1362,1362,0.9757709251101322
ENSG00000115942,1656,1734,1959,0.9550173010380624
ENSG00000146828,2136,2745,2571,0.7781420765027323
ENSG00000146090,1248,1401,1392,0.8907922912205567
ENSG00000181827,3969,4383,4401,0.9055441478439424
ENSG00000022567,2076,2427,2364,0.8553770086526576
ENSG00000107833,354,537,546,0.659217877094972
ENSG00000142751,828,933,1062,0.887459807073955
ENSG00000140740,1299,1362,1581,0.9537444933920703
ENSG00000168143,2754,3036,3036,0.9071146245059288
ENSG00000012171,1992,2250,2295,0.8853333333333333
ENSG00000146425,267,342,348,0.7807017543859649
ENSG00000100207,4512,5883,5952,0.7669556348801632
ENSG00000119471,1191,1257,1491,0.9474940334128878
ENSG00000164975,1044,1236,1218,0.8446601941747572
ENSG00000155189,1002,1095,1101,0.915068493150685
ENSG00000103194,2223,2397,2535,0.9274092615769712
ENSG00000166192,606,639,639,0.9483568075117372
ENSG00000108010,900,1008,1257,0.8928571428571429
ENSG00000115486,2130,2277,2277,0.9354413702239788
ENSG00000141873,876,945,948,0.926984126984127
ENSG00000165124,10494,10716,11220,0.9792833146696528
ENSG00000170385,1290,1524,1494,0.8464566929133859
ENSG00000076053,654,804,879,0.8134328358208955
ENSG00000115109,1911,2202,2343,0.8678474114441417
ENSG00000112320,2061,2622,2802,0.7860411899313501
ENSG00000198948,1020,1230,1287,0.8292682926829268
ENSG00000054148,312,378,375,0.8253968253968254
ENSG00000119630,441,513,648,0.8596491228070176
ENSG00000183495,8169,9372,9315,0.8716389244558259
ENSG00000163728,2067,2313,2349,0.893644617380026
ENSG00000163933,1530,1626,1620,0.940959409594096
ENSG00000116984,3723,3798,3759,0.9802527646129542
ENSG00000042286,1059,1122,1287,0.9438502673796793
ENSG00000138495,129,192,198,0.671875
ENSG00000153391,495,579,657,0.8549222797927462
ENSG00000125652,552,666,735,0.8288288288288288
ENSG00000123684,1080,1113,1170,0.9703504043126684
ENSG00000146411,1728,1854,1929,0.9320388349514565
ENSG00000131263,1467,1875,1788,0.7824
ENSG00000111832,585,732,936,0.7991803278688525
ENSG00000165929,1377,1473,1473,0.9348268839103868
ENSG00000105538,2301,2892,2928,0.7956431535269709
ENSG00000140968,1218,1281,1332,0.9508196721311476
ENSG00000183032,867,900,900,0.9633333333333334
ENSG00000204859,1854,2067,2058,0.8969521044992743
ENSG00000186132,348,381,381,0.9133858267716536
ENSG00000179241,864,1038,1074,0.8323699421965318
ENSG00000146476,1257,1326,1353,0.9479638009049772
ENSG00000256061,1194,1263,1266,0.9453681710213776
ENSG00000155052,3810,3924,4029,0.970948012232416
ENSG00000101189,516,615,612,0.8390243902439024
ENSG00000070061,3687,3999,3876,0.921980495123781
ENSG00000182747,1110,1251,1257,0.8872901678657075
ENSG00000177791,717,900,894,0.7966666666666666
ENSG00000077420,1611,2001,2097,0.8050974512743628
ENSG00000107104,3867,4059,4086,0.9526977087952696
ENSG00000162191,828,894,891,0.9261744966442952
ENSG00000175600,1236,1317,1296,0.938496583143508
ENSG00000100350,1914,2055,2031,0.9313868613138686
ENSG00000262919,693,747,735,0.927710843373494
ENSG00000107186,5649,6213,6387,0.9092225977788508
ENSG00000105976,4020,4173,4314,0.96333572969087
ENSG00000188716,543,663,636,0.8190045248868778
ENSG00000143653,1227,1290,1293,0.9511627906976744
ENSG00000115286,513,642,762,0.7990654205607477
ENSG00000003393,4527,4974,4950,0.9101326899879372
ENSG00000118689,1617,2022,2079,0.7997032640949555
ENSG00000177706,1452,1755,1827,0.8273504273504273
ENSG00000078808,1035,1068,1068,0.9691011235955056
ENSG00000105135,1866,1899,1899,0.9826224328593997
ENSG00000147465,786,858,930,0.916083916083916
ENSG00000078403,2976,3207,3147,0.9279700654817586
ENSG00000178031,5196,5289,5301,0.9824163357912647
ENSG00000115474,984,1083,1086,0.9085872576177284
ENSG00000131503,6969,7629,8001,0.9134880062917814
ENSG00000135686,1788,1851,1857,0.965964343598055
ENSG00000034677,2238,2517,2415,0.8891537544696066
ENSG00000144644,1437,1566,1899,0.9176245210727968
ENSG00000164961,3087,3480,3930,0.8870689655172413
ENSG00000188647,1107,1209,1290,0.9156327543424316
ENSG00000113734,654,687,687,0.9519650655021834
ENSG00000117118,750,843,1215,0.8896797153024911
ENSG00000178741,378,453,708,0.8344370860927153
ENSG00000012232,2526,2760,2835,0.915217391304348
ENSG00000159079,840,873,873,0.9621993127147768
ENSG00000020922,1929,2127,2124,0.9069111424541608
ENSG00000159335,216,309,318,0.6990291262135923
ENSG00000188026,1119,1212,1206,0.9232673267326732
ENSG00000125703,1251,1377,1380,0.9084967320261438
ENSG00000114541,2904,3105,3255,0.9352657004830918
ENSG00000122042,291,354,456,0.8220338983050848
ENSG00000128590,540,672,663,0.8035714285714286
ENSG00000140563,2475,2637,2634,0.938566552901024
ENSG00000177731,3567,3810,3870,0.9362204724409448
ENSG00000175224,1350,1653,1647,0.8166969147005445
ENSG00000103460,1551,1731,1728,0.8960138648180243
ENSG00000144426,7923,8172,8076,0.9695301027900148
ENSG00000021776,4179,4458,4581,0.9374158815612382
ENSG00000117143,1473,1569,1569,0.9388145315487572
ENSG00000101986,2046,2238,2250,0.9142091152815014
ENSG00000107736,9771,10065,9960,0.9707898658718332
ENSG00000104142,2790,2922,3015,0.9548254620123204
ENSG00000248098,1245,1338,1377,0.9304932735426008
ENSG00000180198,1203,1266,1797,0.9502369668246444
ENSG00000105664,2172,2274,2277,0.9551451187335092
ENSG00000156467,303,336,336,0.9017857142857144
ENSG00000137478,2118,2223,2454,0.9527665317139
ENSG00000179562,2223,2328,2316,0.9548969072164948
ENSG00000172500,972,1074,1257,0.905027932960894
ENSG00000040199,3798,3972,4071,0.9561933534743202
ENSG00000130560,1158,1218,1233,0.9507389162561576
ENSG00000158747,405,546,519,0.7417582417582418
ENSG00000124767,495,555,588,0.8918918918918919
ENSG00000164080,3975,4404,4452,0.9025885558583108
ENSG00000131149,3180,3654,3861,0.8702791461412152
ENSG00000090621,1812,1983,1893,0.913767019667171
ENSG00000116885,1077,1140,1170,0.9447368421052632
ENSG00000133935,390,423,567,0.9219858156028368
ENSG00000133313,1395,1428,1428,0.976890756302521
ENSG00000122694,432,465,465,0.9290322580645162
ENSG00000118257,2613,2781,2781,0.9395900755124056
ENSG00000163870,945,1122,1773,0.8422459893048129
ENSG00000127837,1113,1305,1287,0.8528735632183908
ENSG00000113595,1539,1725,2199,0.8921739130434783
ENSG00000023318,1188,1221,1221,0.972972972972973
ENSG00000164880,6387,6573,6576,0.971702418986764
ENSG00000175595,2577,2751,2694,0.9367502726281351
ENSG00000158715,1425,1662,1659,0.8574007220216606
ENSG00000163930,2118,2190,2370,0.9671232876712328
ENSG00000143479,1581,1767,1779,0.8947368421052632
ENSG00000149823,2244,2349,2355,0.9553001277139208
ENSG00000117758,753,831,945,0.9061371841155236
ENSG00000131023,3054,3393,3426,0.9000884173297966
ENSG00000114988,876,1047,1182,0.836676217765043
ENSG00000166889,2136,2313,2322,0.9234760051880676
ENSG00000105058,273,339,336,0.8053097345132744
ENSG00000115137,756,822,789,0.9197080291970804
ENSG00000185633,231,264,264,0.875
ENSG00000177000,1869,1971,1941,0.9482496194824962
ENSG00000132549,11415,11994,11958,0.9517258629314658
ENSG00000135374,615,768,708,0.80078125
ENSG00000163719,1776,1953,1905,0.9093701996927804
ENSG00000162384,450,483,483,0.9316770186335404
ENSG00000204311,1026,1059,1059,0.9688385269121812
ENSG00000112874,1284,1389,1578,0.9244060475161988
ENSG00000071794,2931,3030,3024,0.9673267326732672
ENSG00000108599,1797,1989,1926,0.9034690799396682
ENSG00000185015,756,789,1017,0.9581749049429658
ENSG00000170502,987,1053,1053,0.9373219373219374
ENSG00000061938,2532,3168,3432,0.7992424242424242
ENSG00000107745,1278,1431,1458,0.8930817610062893
ENSG00000115760,14298,14574,14781,0.981062165500206
ENSG00000112306,366,399,738,0.9172932330827068
ENSG00000164548,816,849,849,0.96113074204947
ENSG00000160075,495,585,978,0.8461538461538461
ENSG00000136709,3729,4011,3987,0.9296933433059088
ENSG00000115216,1512,1608,1629,0.9402985074626866
ENSG00000100412,2235,2343,2361,0.9539052496798976
ENSG00000147677,942,1059,1242,0.8895184135977338
ENSG00000115268,405,438,438,0.9246575342465754
ENSG00000120837,588,624,1134,0.9423076923076924
ENSG00000119699,1206,1239,1644,0.973365617433414
ENSG00000130811,900,963,966,0.9345794392523364
ENSG00000155792,1167,1230,1209,0.948780487804878
ENSG00000119616,564,597,597,0.9447236180904522
ENSG00000122966,5883,6210,6138,0.9473429951690822
ENSG00000062598,2094,2163,2157,0.9680998613037448
ENSG00000136068,7776,7809,7992,0.9957741067998463
ENSG00000144233,900,933,933,0.964630225080386
ENSG00000083799,2769,2871,2886,0.9644723092998956
ENSG00000124214,1632,1734,2106,0.9411764705882352
ENSG00000101557,1419,1485,1497,0.9555555555555556
ENSG00000130517,597,630,630,0.9476190476190476
ENSG00000152382,975,1008,1008,0.9672619047619048
ENSG00000100522,522,555,555,0.9405405405405406
ENSG00000155099,741,774,774,0.9573643410852714
ENSG00000157064,891,924,924,0.9642857142857144
ENSG00000101161,2793,2826,2826,0.9883227176220808
ENSG00000180875,444,507,525,0.8757396449704142
ENSG00000183036,141,189,204,0.746031746031746
ENSG00000174417,1164,1197,1197,0.9724310776942356
ENSG00000119820,696,735,744,0.946938775510204
ENSG00000138083,906,999,1107,0.9069069069069068
ENSG00000197217,1788,1851,1854,0.965964343598055
ENSG00000166342,1554,1602,1608,0.9700374531835206
ENSG00000136297,708,741,1080,0.9554655870445344
ENSG00000141030,1200,1272,1776,0.9433962264150944
ENSG00000124641,606,639,639,0.9483568075117372
ENSG00000087502,1101,1134,1134,0.9708994708994708
ENSG00000090686,3015,3108,3117,0.97007722007722
ENSG00000118939,630,693,885,0.9090909090909092
ENSG00000134748,906,939,939,0.9648562300319488
ENSG00000161654,504,588,819,0.8571428571428571
ENSG00000115761,2034,2067,2067,0.9840348330914368
ENSG00000165724,651,684,684,0.9517543859649122
ENSG00000107968,1341,1404,1614,0.9551282051282052
ENSG00000143155,771,819,825,0.9413919413919414
ENSG00000111669,717,750,1182,0.956
ENSG00000083937,579,642,645,0.9018691588785048
ENSG00000008952,1047,1200,1224,0.8725
ENSG00000067842,3495,3663,3774,0.954135954135954
ENSG00000177954,222,255,255,0.8705882352941177
ENSG00000217930,345,378,378,0.9126984126984128
ENSG00000169744,1089,1122,1122,0.9705882352941176
ENSG00000123395,624,657,657,0.9497716894977168
ENSG00000168280,2838,2874,2880,0.9874739039665972
ENSG00000103266,798,912,1122,0.875
ENSG00000153879,420,453,453,0.9271523178807948
ENSG00000167693,1188,1308,1356,0.908256880733945
ENSG00000162670,2226,2301,2259,0.967405475880052
ENSG00000148935,879,942,945,0.9331210191082804
ENSG00000173653,900,990,1002,0.9090909090909092
ENSG00000187231,2058,2091,2091,0.9842180774748924
ENSG00000145860,1866,1992,2163,0.9367469879518072
ENSG00000161980,294,327,327,0.8990825688073395
ENSG00000113569,4029,4176,4170,0.9647988505747126
ENSG00000111481,489,534,552,0.9157303370786516
ENSG00000173744,1533,1689,2031,0.9076376554174068
ENSG00000136021,2598,2790,2946,0.9311827956989248
ENSG00000134440,1614,1647,1680,0.9799635701275046
ENSG00000110851,2370,2406,2526,0.9850374064837906
ENSG00000086475,1146,1179,1179,0.9720101781170484
ENSG00000083307,1785,1878,1884,0.950479233226837
ENSG00000167085,786,819,819,0.9597069597069596
ENSG00000113558,459,492,828,0.9329268292682928
ENSG00000036257,2274,2307,2307,0.9856957087126138
ENSG00000020426,897,930,930,0.964516129032258
ENSG00000085382,2634,2730,2730,0.9648351648351648
ENSG00000100554,711,744,744,0.9556451612903226
ENSG00000171848,1077,1170,1269,0.9205128205128204
ENSG00000152642,1023,1056,1056,0.96875
