family,gene,n_species,human_len_bp,n_diag_platypus,n_diag_opossum,n_auto_platypus,n_auto_opossum,n_diag_deep_sum,aa_frac_platypus,indel_frac_platypus,indel_frac_deep_max,n_diag_divergent_mean,nearest_primate,n_diag_nearest_primate,grad_ratio,has_platypus,has_opossum,has_elephant,has_armadillo,ndiag_chimp,ndiag_mouse,ndiag_cow,ndiag_armadillo,ndiag_elephant,ndiag_opossum,ndiag_platypus,ladder,composite,rank,selected
muscarinic_receptor,CHRM2,23,1401,315,212,121,61,527,0.3873015873015873,0.0021413276231263545,0.0021413276231263545,123.44444444444444,chimp,2,0.006349206349206349,True,True,True,True,2.0,149.0,94.0,89.0,113.0,212,315,chimp(8):2;gorilla(11):5;macaque(42):22;marmoset(64):30;guineapig(156):110;rat(156):150;mouse(156):149;rabbit(156):109;cow(169):94;sheep(169):94;pig(169):104;goat(169):91;bat(169):108;dog(169):92;ferret(169):94;panda(169):107;cat(169):107;horse(169):84;armadillo(180):89;elephant(183):113;opossum(319):212;platypus(378):315,2.1375080442420007,11,True
cytochrome_p450,CYP4V2,17,1578,525,396,229,123,921,0.6057142857142858,0.009505703422053258,0.013307984790874472,289.1818181818182,chimp,15,0.02857142857142857,True,True,False,True,15.0,283.0,266.0,206.0,,396,525,chimp(8):15;gorilla(11):11;orangutan(21):30;macaque(42):39;marmoset(64):176;guineapig(156):265;rat(156):274;mouse(156):283;cow(169):266;sheep(169):262;goat(169):262;dog(169):231;panda(169):211;armadillo(180):206;opossum(319):396;platypus(378):525,2.114896918343102,12,False
aldehyde_dehydrogenase,ALDH18A1,19,2388,439,441,144,167,880,0.26879271070615035,0.005025125628140725,0.005025125628140725,249.5,gorilla,17,0.0387243735763098,True,True,True,False,,291.0,211.0,,187.0,441,439,gorilla(11):17;orangutan(21):30;macaque(42):40;marmoset(64):71;rat(156):294;mouse(156):291;cow(169):211;sheep(169):217;pig(169):197;goat(169):215;bat(169):220;dog(169):202;panda(169):202;cat(169):192;horse(169):185;elephant(183):187;opossum(319):441;platypus(378):439,2.064215403594352,13,False
phosphodiesterase,PDE6C,19,2577,604,518,205,203,1122,0.42218543046357615,0.023282887077997638,0.023282887077997638,347.84615384615387,chimp,12,0.019867549668874173,True,True,False,False,12.0,398.0,286.0,,,518,604,chimp(8):12;gorilla(11):12;orangutan(21):24;macaque(42):52;marmoset(64):76;guineapig(156):293;rat(156):404;mouse(156):398;cow(169):286;sheep(169):299;pig(169):260;goat(169):314;dog(169):281;ferret(169):312;panda(169):283;cat(169):270;opossum(319):518;platypus(378):604,2.056399904937291,14,False
ectonucleotide_pyrophosphatase,ENPP1,19,2778,648,557,231,164,1205,0.625,0.04643628509719222,0.04643628509719222,410.0,chimp,11,0.016975308641975308,True,True,False,False,11.0,511.0,320.0,,,557,648,chimp(8):11;orangutan(21):42;macaque(42):51;marmoset(64):99;guineapig(156):507;rat(156):534;mouse(156):511;cow(169):320;sheep(169):304;pig(169):273;goat(169):366;bat(169):304;dog(169):311;panda(169):285;cat(169):400;horse(169):420;opossum(319):557;platypus(378):648,2.0307535154954186,15,False
arachidonate_lipoxygenase,ALOX12B,19,2106,476,549,152,198,1025,0.5378151260504201,0.002849002849002802,0.005698005698005715,298.14285714285717,chimp,9,0.018907563025210083,True,True,False,False,9.0,332.0,246.0,,,549,476,chimp(8):9;orangutan(21):29;macaque(42):72;marmoset(64):115;guineapig(156):283;rat(156):322;mouse(156):332;cow(169):246;sheep(169):251;pig(169):233;goat(169):251;dog(169):249;ferret(169):246;panda(169):271;cat(169):238;horse(169):227;opossum(319):549;platypus(378):476,2.010742067070553,16,False
muscarinic_receptor,CHRM3,20,1773,450,303,202,119,753,0.5577777777777778,0.050761421319796995,0.050761421319796995,221.86666666666667,chimp,8,0.017777777777777778,True,True,True,True,8.0,229.0,168.0,250.0,152.0,303,450,chimp(8):8;orangutan(21):20;macaque(42):33;marmoset(64):77;guineapig(156):189;rat(156):219;mouse(156):229;cow(169):168;sheep(169):162;pig(169):136;goat(169):169;bat(169):308;dog(169):207;panda(169):220;cat(169):166;armadillo(180):250;elephant(183):152;opossum(319):303;platypus(378):450,1.9939207825854277,17,False
matrix_metalloproteinase,MMP1,17,1410,435,374,161,131,809,0.7080459770114943,0.012765957446808529,0.012765957446808529,237.0,chimp,6,0.013793103448275862,True,True,True,False,6.0,,,,159.0,374,435,chimp(8):6;gorilla(11):14;orangutan(21):20;macaque(42):46;marmoset(64):149;rabbit(156):160;sheep(169):198;pig(169):176;dog(169):205;ferret(169):278;panda(169):249;cat(169):227;horse(169):146;elephant(183):159;opossum(319):374;platypus(378):435,1.9450765687257203,18,True
cytochrome_p450,CYP7A1,22,1515,370,332,117,88,702,0.5405405405405406,0.001980198019801982,0.001980198019801982,245.9375,chimp,4,0.010810810810810811,True,True,False,True,4.0,257.0,254.0,251.0,,332,370,chimp(8):4;gorilla(11):9;orangutan(21):22;macaque(42):51;marmoset(64):76;rat(156):268;mouse(156):257;rabbit(156):204;cow(169):254;sheep(169):254;pig(169):240;goat(169):255;bat(169):214;dog(169):232;ferret(169):204;panda(169):203;cat(169):210;horse(169):187;armadillo(180):251;opossum(319):332;platypus(378):370,1.9366357426491017,19,False
p2y_receptor,P2RY14,23,1017,294,295,101,66,589,0.6020408163265306,0.01179941002949858,0.014749262536873142,182.58823529411765,chimp,12,0.04081632653061224,True,True,True,True,12.0,187.0,183.0,140.0,189.0,295,294,chimp(8):12;gorilla(11):10;orangutan(21):18;macaque(42):27;marmoset(64):47;guineapig(156):160;rat(156):202;mouse(156):187;rabbit(156):169;cow(169):183;sheep(169):181;pig(169):166;goat(169):172;dog(169):159;ferret(169):126;panda(169):156;cat(169):146;horse(169):179;armadillo(180):140;elephant(183):189;opossum(319):295;platypus(378):294,1.8521014443028956,20,True
m14_carboxypeptidase,CPXM2,17,2271,565,542,192,173,1107,0.44424778761061945,0.0303830911492734,0.0303830911492734,321.8333333333333,chimp,16,0.02831858407079646,True,True,False,False,16.0,327.0,254.0,,,542,565,chimp(8):16;orangutan(21):48;macaque(42):63;marmoset(64):115;rat(156):337;mouse(156):327;cow(169):254;sheep(169):255;pig(169):245;goat(169):258;dog(169):384;ferret(169):214;cat(169):243;horse(169):238;opossum(319):542;platypus(378):565,1.8042048719682913,21,False
cytochrome_p450,CYP2E1,20,1482,483,480,144,117,963,0.6459627329192547,0.004048582995951455,0.004048582995951455,310.1333333333333,chimp,18,0.037267080745341616,True,True,False,False,18.0,304.0,283.0,,,480,483,chimp(8):18;gorilla(11):9;orangutan(21):25;marmoset(64):111;guineapig(156):288;rat(156):292;mouse(156):304;rabbit(156):276;cow(169):283;sheep(169):279;pig(169):280;goat(169):283;bat(169):294;dog(169):296;panda(169):278;cat(169):290;horse(169):246;opossum(319):480;platypus(378):483,1.7249050073698382,22,False
matrix_metalloproteinase,MMP2,18,1983,392,391,170,176,783,0.4387755102040816,0.015128593040847238,0.015128593040847238,230.83333333333334,chimp,12,0.030612244897959183,True,True,False,True,12.0,209.0,185.0,220.0,,391,392,chimp(8):12;gorilla(11):14;orangutan(21):30;macaque(42):51;marmoset(64):101;rat(156):229;mouse(156):209;cow(169):185;sheep(169):186;goat(169):179;bat(169):269;dog(169):180;cat(169):164;horse(169):166;armadillo(180):220;opossum(319):391;platypus(378):392,1.723104223355037,23,False
p2y_receptor,P2RY2,21,1134,325,326,121,117,651,0.7353846153846154,0.044973544973545,0.05820105820105825,160.8125,chimp,6,0.018461538461538463,True,True,True,True,6.0,162.0,125.0,147.0,131.0,326,325,chimp(8):6;gorilla(11):6;orangutan(21):16;macaque(42):37;guineapig(156):164;rat(156):166;mouse(156):162;cow(169):125;sheep(169):133;pig(169):143;goat(169):132;bat(169):134;dog(169):120;ferret(169):146;cat(169):109;horse(169):110;armadillo(180):147;elephant(183):131;opossum(319):326;platypus(378):325,1.6450664350726028,24,False
matrix_metalloproteinase,MMP14,20,1749,298,324,126,140,622,0.32550335570469796,0.010291595197255532,0.010291595197255532,165.78571428571428,chimp,1,0.003355704697986577,True,True,True,False,1.0,177.0,135.0,,116.0,324,298,chimp(8):1;gorilla(11):12;orangutan(21):16;macaque(42):32;marmoset(64):78;guineapig(156):148;rat(156):178;mouse(156):177;cow(169):135;sheep(169):136;pig(169):116;goat(169):147;dog(169):143;ferret(169):159;cat(169):132;horse(169):112;elephant(183):116;opossum(319):324;platypus(378):298,1.6320987762232495,25,False
glutamate_metabotropic,GRM3,17,2640,432,450,145,148,882,0.2361111111111111,0.003409090909090917,0.003409090909090917,262.3333333333333,chimp,7,0.016203703703703703,True,True,False,False,7.0,273.0,212.0,,,450,432,chimp(8):7;orangutan(21):18;macaque(42):46;marmoset(64):85;rat(156):267;mouse(156):273;rabbit(156):255;cow(169):212;sheep(169):212;goat(169):210;dog(169):214;panda(169):224;cat(169):227;horse(169):172;opossum(319):450;platypus(378):432,1.6193516087885147,26,False
adam_metallopeptidase,ADAM15,22,2592,774,753,308,258,1527,0.7467700258397932,0.21064814814814814,0.21064814814814814,452.3125,chimp,20,0.025839793281653745,True,True,True,False,20.0,379.0,456.0,,348.0,753,774,chimp(8):20;gorilla(11):22;orangutan(21):32;macaque(42):71;marmoset(64):159;guineapig(156):403;rat(156):428;mouse(156):379;rabbit(156):423;cow(169):456;sheep(169):382;pig(169):371;goat(169):385;bat(169):369;dog(169):420;panda(169):434;cat(169):514;horse(169):398;elephant(183):348;opossum(319):753;platypus(378):774,1.5542025019738281,27,False
ectonucleotide_pyrophosphatase,ENPP4,20,1362,310,257,95,67,567,0.567741935483871,0.0022026431718061845,0.004405286343612369,185.0,chimp,1,0.0032258064516129032,True,True,False,True,1.0,219.0,187.0,114.0,,257,310,chimp(8):1;orangutan(21):15;macaque(42):30;marmoset(64):50;guineapig(156):217;rat(156):218;mouse(156):219;cow(169):187;sheep(169):194;pig(169):206;goat(169):195;dog(169):123;ferret(169):139;panda(169):130;cat(169):128;horse(169):138;armadillo(180):114;opossum(319):257;platypus(378):310,1.5534747544581544,28,False
flavin_monooxygenase,FMO5,18,1602,487,344,189,96,831,0.5770020533880903,0.0037453183520599342,0.0037453183520599342,237.6153846153846,chimp,6,0.012320328542094456,True,True,False,False,6.0,252.0,199.0,,,344,487,chimp(8):6;orangutan(21):25;macaque(42):32;marmoset(64):83;guineapig(156):210;rat(156):256;mouse(156):252;rabbit(156):217;cow(169):199;sheep(169):199;pig(169):231;goat(169):198;panda(169):164;cat(169):163;horse(169):169;opossum(319):344;platypus(378):487,1.5356468667915828,29,False
arf_gtpase,ARL4A,23,603,152,187,30,70,339,0.13157894736842105,0.00497512437810943,0.00497512437810943,49.77777777777778,gorilla,2,0.013157894736842105,True,True,True,True,,45.0,33.0,27.0,24.0,187,152,gorilla(11):2;orangutan(21):54;macaque(42):9;marmoset(64):15;guineapig(156):48;rat(156):40;mouse(156):45;rabbit(156):42;cow(169):33;sheep(169):38;pig(169):38;goat(169):39;bat(169):41;dog(169):20;ferret(169):30;panda(169):36;cat(169):30;horse(169):26;armadillo(180):27;elephant(183):24;opossum(319):187;platypus(378):152,1.5290278718340184,30,True
steap_metalloreductase,STEAP2,19,1473,396,193,181,49,589,0.3106060606060606,0.004073319755600768,0.004073319755600768,144.42857142857142,gorilla,7,0.017676767676767676,True,True,True,False,,201.0,98.0,,96.0,193,396,gorilla(11):7;orangutan(21):15;macaque(42):44;marmoset(64):41;guineapig(156):151;rat(156):198;mouse(156):201;cow(169):98;pig(169):99;goat(169):96;dog(169):101;ferret(169):122;panda(169):91;cat(169):87;horse(169):93;elephant(183):96;opossum(319):193;platypus(378):396,1.4647010817276631,31,False
aldehyde_dehydrogenase,ALDH1A3,21,1539,304,267,54,44,571,0.3256578947368421,0.0019493177387914784,0.0019493177387914784,199.3125,gorilla,7,0.023026315789473683,True,True,False,True,,196.0,174.0,178.0,,267,304,gorilla(11):7;orangutan(21):23;macaque(42):46;marmoset(64):67;guineapig(156):81;rat(156):180;mouse(156):196;rabbit(156):432;cow(169):174;sheep(169):212;pig(169):159;goat(169):173;dog(169):160;ferret(169):168;panda(169):183;cat(169):172;horse(169):150;armadillo(180):178;opossum(319):267;platypus(378):304,1.4452480803708592,32,False
aldehyde_dehydrogenase,ALDH1B1,15,1554,282,330,67,104,612,0.2730496453900709,0.0019305019305019266,0.0019305019305019266,201.1818181818182,chimp,7,0.024822695035460994,True,True,False,True,7.0,199.0,212.0,175.0,,330,282,chimp(8):7;macaque(42):51;marmoset(64):91;rat(156):206;mouse(156):199;cow(169):212;pig(169):163;dog(169):167;ferret(169):161;panda(169):174;cat(169):144;armadillo(180):175;opossum(319):330;platypus(378):282,1.3876733020334406,33,False
hox,HOXD10,23,1023,136,117,36,18,253,0.35294117647058826,0.0029325513196480912,0.0029325513196480912,35.5,chimp,1,0.007352941176470588,True,True,True,True,1.0,29.0,26.0,30.0,28.0,117,136,chimp(8):1;gorilla(11):1;orangutan(21):4;marmoset(64):15;guineapig(156):25;rat(156):26;mouse(156):29;rabbit(156):13;cow(169):26;sheep(169):24;pig(169):24;goat(169):25;bat(169):28;dog(169):18;ferret(169):24;panda(169):23;cat(169):21;horse(169):22;armadillo(180):30;elephant(183):28;opossum(319):117;platypus(378):136,1.3693605778392481,34,False
cytochrome_p450,CYP19A1,19,1512,430,306,152,99,736,0.5093023255813953,0.003968253968253954,0.003968253968253954,239.30769230769232,chimp,3,0.0069767441860465115,True,True,False,False,3.0,281.0,205.0,,,306,430,chimp(8):3;gorilla(11):5;orangutan(21):19;macaque(42):38;marmoset(64):80;guineapig(156):226;rat(156):297;mouse(156):281;rabbit(156):201;cow(169):205;sheep(169):206;bat(169):196;dog(169):183;panda(169):169;cat(169):176;horse(169):235;opossum(319):306;platypus(378):430,1.3457580294569726,35,False
serotonin_receptor,HTR5A,19,1074,185,239,52,75,424,0.5459459459459459,0.011173184357541888,0.011173184357541888,150.78571428571428,gorilla,8,0.043243243243243246,True,True,True,True,,169.0,136.0,115.0,123.0,239,185,gorilla(11):8;orangutan(21):17;macaque(42):29;marmoset(64):53;guineapig(156):136;rat(156):198;mouse(156):169;cow(169):136;sheep(169):147;goat(169):144;dog(169):123;ferret(169):138;cat(169):138;horse(169):120;armadillo(180):115;elephant(183):123;opossum(319):239;platypus(378):185,1.3193977532806769,36,False
flavin_monooxygenase,FMO3,17,1599,390,366,120,109,756,0.5641025641025641,0.0018761726078799779,0.0018761726078799779,261.4166666666667,chimp,6,0.015384615384615385,True,True,False,False,6.0,270.0,246.0,,,366,390,chimp(8):6;orangutan(21):23;macaque(42):56;marmoset(64):91;rat(156):273;mouse(156):270;rabbit(156):232;cow(169):246;sheep(169):237;pig(169):225;goat(169):241;dog(169):220;cat(169):222;horse(169):215;opossum(319):366;platypus(378):390,1.3001891980890916,37,False
hox,HOXB13,23,855,233,172,110,51,405,0.5708154506437768,0.038596491228070184,0.038596491228070184,110.82352941176471,chimp,4,0.017167381974248927,True,True,True,True,4.0,106.0,89.0,98.0,85.0,172,233,chimp(8):4;gorilla(11):7;orangutan(21):7;macaque(42):32;marmoset(64):40;guineapig(156):102;rat(156):103;mouse(156):106;rabbit(156):91;cow(169):89;sheep(169):87;pig(169):85;goat(169):88;dog(169):119;ferret(169):117;panda(169):115;cat(169):104;horse(169):90;armadillo(180):98;elephant(183):85;opossum(319):172;platypus(378):233,1.270278041344919,38,True
matrix_metalloproteinase,MMP8,19,1404,423,418,150,126,841,0.6761229314420804,0.021367521367521403,0.021367521367521403,270.35714285714283,chimp,13,0.030732860520094562,True,True,False,False,13.0,277.0,238.0,,,418,423,chimp(8):13;gorilla(11):13;orangutan(21):40;macaque(42):62;guineapig(156):260;rat(156):283;mouse(156):277;cow(169):238;sheep(169):236;pig(169):207;goat(169):230;bat(169):200;dog(169):241;panda(169):273;cat(169):299;horse(169):200;opossum(319):418;platypus(378):423,1.2147725043156066,39,False
arachidonate_lipoxygenase,ALOX5,19,2025,362,364,86,100,726,0.3425414364640884,0.001481481481481528,0.001481481481481528,239.0,chimp,9,0.024861878453038673,True,True,False,False,9.0,245.0,199.0,,,364,362,chimp(8):9;orangutan(21):23;macaque(42):55;marmoset(64):88;guineapig(156):268;rat(156):267;mouse(156):245;rabbit(156):194;cow(169):199;sheep(169):198;pig(169):186;goat(169):192;dog(169):199;ferret(169):195;cat(169):231;horse(169):246;opossum(319):364;platypus(378):362,1.1907633307849357,40,False
ras_gtpases,NKIRAS2,22,576,94,87,30,29,181,0.26595744680851063,0.00520833333333337,0.00520833333333337,64.25,chimp,0,0.0,True,True,True,True,0.0,52.0,122.0,48.0,47.0,87,94,chimp(8):0;gorilla(11):1;orangutan(21):5;macaque(42):11;marmoset(64):25;guineapig(156):67;rat(156):53;mouse(156):52;rabbit(156):50;cow(169):122;sheep(169):40;pig(169):44;goat(169):41;dog(169):42;ferret(169):39;panda(169):176;cat(169):26;armadillo(180):48;elephant(183):47;opossum(319):87;platypus(378):94,1.184045195998538,41,True
rho_gtpase,RND2,19,684,141,102,58,37,243,0.40425531914893614,0.004385964912280715,0.004385964912280715,52.142857142857146,chimp,2,0.014184397163120567,True,True,True,True,2.0,53.0,38.0,44.0,34.0,102,141,chimp(8):2;orangutan(21):6;macaque(42):10;marmoset(64):15;guineapig(156):79;mouse(156):53;cow(169):38;sheep(169):28;pig(169):36;goat(169):29;bat(169):44;dog(169):34;cat(169):40;horse(169):28;armadillo(180):44;elephant(183):34;opossum(319):102;platypus(378):141,1.1615801780778539,42,True
cytochrome_p450,CYP2R1,19,1506,437,319,207,112,756,0.5377574370709383,0.015936254980079667,0.015936254980079667,168.23076923076923,chimp,8,0.018306636155606407,True,True,False,False,8.0,166.0,131.0,,,319,437,chimp(8):8;gorilla(11):7;orangutan(21):17;macaque(42):35;marmoset(64):63;guineapig(156):135;rat(156):176;mouse(156):166;rabbit(156):113;cow(169):131;sheep(169):121;pig(169):117;goat(169):121;panda(169):131;cat(169):118;horse(169):102;opossum(319):319;platypus(378):437,1.15687917353731,43,False
serine_protease,PRSS23,19,1152,257,197,78,51,454,0.4474708171206226,0.01822916666666663,0.0234375,140.0625,orangutan,14,0.054474708171206226,True,True,True,True,,158.0,138.0,184.0,114.0,197,257,orangutan(21):14;macaque(42):26;guineapig(156):112;mouse(156):158;rabbit(156):109;cow(169):138;sheep(169):140;pig(169):110;goat(169):144;bat(169):120;dog(169):123;ferret(169):129;cat(169):105;horse(169):101;armadillo(180):184;elephant(183):114;opossum(319):197;platypus(378):257,1.1551896941828246,44,False
hox,HOXB5,22,810,140,111,64,37,251,0.34285714285714286,0.01851851851851849,0.01851851851851849,44.625,chimp,1,0.007142857142857143,True,True,True,True,1.0,43.0,17.0,30.0,34.0,111,140,chimp(8):1;gorilla(11):3;orangutan(21):6;macaque(42):8;marmoset(64):15;guineapig(156):41;rat(156):142;mouse(156):43;rabbit(156):26;cow(169):17;sheep(169):18;pig(169):21;goat(169):17;dog(169):19;ferret(169):19;panda(169):17;horse(169):19;armadillo(180):30;elephant(183):34;opossum(319):111;platypus(378):140,1.1527364877535846,45,True
ectonucleotide_pyrophosphatase,ENPP5,20,1434,350,367,122,129,717,0.54,0.010460251046025104,0.010460251046025104,205.26666666666668,chimp,7,0.02,True,True,False,False,7.0,235.0,190.0,,,367,350,chimp(8):7;orangutan(21):15;macaque(42):37;marmoset(64):63;guineapig(156):204;rat(156):231;mouse(156):235;rabbit(156):132;cow(169):190;sheep(169):194;pig(169):185;goat(169):189;dog(169):141;ferret(169):172;panda(169):188;cat(169):164;horse(169):137;opossum(319):367;platypus(378):350,1.1267467266842859,46,False
hox,HOXA6,17,702,138,124,33,16,262,0.2463768115942029,0.008547008547008517,0.008547008547008517,45.333333333333336,gorilla,2,0.014492753623188406,True,True,True,True,,49.0,29.0,24.0,28.0,124,138,gorilla(11):2;orangutan(21):8;macaque(42):105;marmoset(64):140;guineapig(156):26;mouse(156):49;cow(169):29;sheep(169):32;goat(169):29;dog(169):20;ferret(169):23;panda(169):22;armadillo(180):24;elephant(183):28;opossum(319):124;platypus(378):138,1.1094601379067857,47,True
rab_gtpase,RAB24,22,612,86,99,29,29,185,0.1744186046511628,0.004901960784313708,0.004901960784313708,61.5625,chimp,1,0.011627906976744186,True,True,True,True,1.0,67.0,69.0,42.0,37.0,99,86,chimp(8):1;gorilla(11):0;orangutan(21):1;macaque(42):6;marmoset(64):14;guineapig(156):44;rat(156):93;mouse(156):67;cow(169):69;sheep(169):72;pig(169):139;goat(169):33;bat(169):35;dog(169):37;ferret(169):38;panda(169):31;cat(169):63;armadillo(180):42;elephant(183):37;opossum(319):99;platypus(378):86,1.096265827067568,48,True
hox,HOXB1,23,906,245,225,103,75,470,0.6571428571428571,0.019867549668874163,0.019867549668874163,129.1764705882353,chimp,4,0.0163265306122449,True,True,False,True,4.0,138.0,112.0,123.0,,225,245,chimp(8):4;gorilla(11):7;orangutan(21):15;macaque(42):24;marmoset(64):50;guineapig(156):151;rat(156):137;mouse(156):138;rabbit(156):124;cow(169):112;sheep(169):112;pig(169):107;goat(169):114;bat(169):110;dog(169):103;ferret(169):105;panda(169):96;cat(169):92;horse(169):102;armadillo(180):123;opossum(319):225;platypus(378):245,1.0639261866293208,49,False
adrenoceptor,ADRA2A,19,1398,269,252,130,109,521,0.6579925650557621,0.045064377682403456,0.0665236051502146,142.69230769230768,chimp,8,0.02973977695167286,True,True,True,True,8.0,167.0,129.0,109.0,123.0,252,269,chimp(8):8;gorilla(11):10;orangutan(21):21;macaque(42):48;marmoset(64):62;rat(156):153;mouse(156):167;cow(169):129;sheep(169):131;pig(169):127;goat(169):130;dog(169):75;cat(169):96;horse(169):94;armadillo(180):109;elephant(183):123;opossum(319):252;platypus(378):269,1.0385859361930243,50,False
