gene,aln_len_raw,aln_len_trimmed,status,n_taxa_tree,tree_len,diameter,focal_target_dist,mean_target_dist,treeness,human_branch,platypus_branch,background_rate,mean_terminal,reason
ENSG00000064309,1372,1245,ok,24.0,2.107950319,0.6493407084,0.5706274947,0.5770272680347827,0.22044984571574242,0.0112357114,0.3707613272,1.7259532804000002,0.06846887485,
ENSG00000066827,1569,1241,ok,24.0,2.5266268812,0.9567688647,0.7908634693000001,0.8326505918086957,0.21637103276616562,0.002724003,0.5651016801,1.9588011981,0.08249741722916666,
ENSG00000067842,1577,1213,ok,24.0,0.6964837196,0.2657057711,0.08132091470000001,0.09920327452173913,0.14579496683471366,2.6096e-06,0.0174399364,0.6790411736,0.02478916245,
ENSG00000069849,525,277,ok,17.0,3.9866511125999997,2.0666979908,0.7643367532000002,0.8815604811125001,0.18809254389731622,2.769e-06,0.1785616577,3.8080866858999998,0.19039951548235293,
ENSG00000070061,1470,1329,ok,23.0,1.6179362478,0.5041783583999999,0.3740194896,0.38557813736363633,0.2939352168212175,0.003832024,0.1592776429,1.4548265808999998,0.04966816547826087,
ENSG00000071794,1105,1005,ok,24.0,1.2136857205,0.5150270680000001,0.34502074750000006,0.351578362952174,0.36157859953992927,0.0010692914,0.1071336912,1.1054827379,0.032285122391666664,
ENSG00000072201,791,725,ok,24.0,2.2273879325,1.0310975724999998,0.8161531978000001,0.8408652207304348,0.14621397025100386,0.0029075078,0.6744474939,1.5500329308000003,0.07923802915,
ENSG00000074047,1715,1562,ok,22.0,2.4096991324,1.0362218611,0.5061650949000001,0.5600173485476191,0.2304646068602286,0.0035224234,0.1771360458,2.2290406631999997,0.08428858041818182,
ENSG00000076053,414,262,ok,22.0,1.7436376983,0.7545352492,0.3802865882,0.40430806060476193,0.23364057102985844,2.8785e-06,0.1915034355,1.5521313843,0.0607387814,
ENSG00000076242,933,757,ok,24.0,2.1069959663,0.7390958659,0.5657514107999999,0.6151092497086956,0.17186502679257643,0.0029978744,0.4148567534,1.6891413384999998,0.0727032103375,
ENSG00000076650,1121,931,ok,24.0,2.0026065338,0.6616779684999999,0.5476294946,0.5616227793478261,0.2407918983890414,0.0058365179,0.2985417499,1.6982282659999999,0.06334979603333334,
ENSG00000077420,846,659,ok,21.0,2.5906248907,0.795746481,0.5369623437000001,0.6028778341500001,0.17964307016067071,0.0086900095,0.3186996889,2.2632351923,0.1012017657952381,
ENSG00000078403,1266,1069,ok,24.0,0.7235629089,0.2224125084,0.1404910574,0.1574810543521739,0.2827629342015876,0.001814229,0.0788932502,0.6428554297,0.021623589070833334,
ENSG00000078808,1068,355,ok,22.0,1.4724567793,0.5334397053,0.35093697960000003,0.34096427300000004,0.3476873671248817,0.0058287937,0.0611745584,1.4054534272,0.04365918902272727,
ENSG00000083307,748,624,ok,24.0,0.5461293291,0.19178413360000002,0.10686807970000001,0.11242032180869564,0.2633403956476873,0.0,0.0310609075,0.5150684216,0.016762975645833334,
ENSG00000083799,997,952,ok,23.0,0.49186725600000003,0.2292041676,0.1292645956,0.13374630729090908,0.2516102964577093,2.026e-06,0.0766847742,0.41518045580000007,0.016004712604347826,
ENSG00000083937,348,213,ok,24.0,15.027496323600001,9.604718845100003,0.1456933835,0.7774830621260871,0.006586105580646052,2.1516e-06,0.0862478606,14.9412463114,0.6220218185916667,
ENSG00000085382,1303,909,ok,22.0,0.3643140826,0.16677664049999996,0.0586504881,0.07116495581904762,0.1478806905171225,2.0746e-06,0.0393369402,0.32497506779999996,0.014110866568181817,
ENSG00000086475,470,389,ok,22.0,0.2874899474,0.1931369949000001,0.007590958199999999,0.02284404715714286,0.15179250785865914,0.0,0.0025221811,0.2849677663,0.011084142150000002,
ENSG00000087303,1612,1404,ok,24.0,3.3592373776,0.9950576713000001,0.7296238512000001,0.7800330765434783,0.23345895676485404,0.006329413,0.3498828455,3.0030251191,0.10729138849583332,
ENSG00000087502,436,373,ok,23.0,0.9138178288,0.5048432431,0.10987594009999999,0.13300737478181815,0.13801999132105358,0.0056471281,0.050295054,0.8578756466999999,0.03424750869565218,
ENSG00000090621,817,644,ok,19.0,0.8257100407,0.5164563577000001,0.1107185247,0.14315615175000002,0.09973569902357614,2.5179e-06,0.0346950921,0.7910124306999999,0.03912406697894737,
ENSG00000090686,1185,1031,ok,24.0,0.4819247221,0.16100659820000002,0.090099382,0.1053783791,0.25236266168300814,2.8944e-06,0.0424353004,0.4394865273,0.015012704854166668,
ENSG00000092036,633,363,ok,21.0,1.6084880381,0.5726856696000001,0.4483033885,0.4576022411949999,0.19991633626311642,0.0027454256,0.3059339235,1.299808689,0.06128214298095239,
ENSG00000099814,2196,1468,ok,22.0,2.9754042624,0.9767445507,0.7669879001,0.789900274804762,0.24864372305605795,0.0054212804,0.3892235529,2.5807594291000004,0.10161766677272728,
ENSG00000100060,437,320,ok,22.0,2.667964012,1.0340433516,0.5627773734,0.6065832920285714,0.25309720602033364,0.0073224988,0.1796998525,2.4809416607,0.09057771703636364,
ENSG00000100207,2376,1938,ok,23.0,1.2073503652,0.5294618853999999,0.4909135766,0.5050317797363636,0.20078770114078895,0.0013717717,0.3571675489,0.8488110446,0.04195344612608696,
ENSG00000100239,1297,839,ok,24.0,2.8856434795,0.8055284181,0.5096731001,0.5795088621130435,0.3057161267381714,0.0026467844,0.1158108431,2.767185852,0.08347732215833333,
ENSG00000100350,893,653,ok,24.0,2.5302913343999998,0.7940986841000001,0.5401715752,0.5763135597826087,0.2418230388656387,0.0036352415,0.2707764619,2.2558796309999996,0.07993369144583333,
ENSG00000100412,1056,780,ok,23.0,0.6529332056,0.2618436045,0.0991419034,0.10743958548636363,0.15273506959775304,0.00141988,0.0445510234,0.6069623021999999,0.02405249595652174,
ENSG00000100522,471,183,ok,23.0,0.9695628416,0.7249645196,0.11921066949999999,0.15449374619090908,0.038876384162781844,0.0,0.0967361625,0.8728266790999999,0.04051607583043478,
ENSG00000100554,296,225,ok,21.0,1.4712077842,1.2121228496,0.0508923504,0.11947786693,0.012008906008886518,0.0,0.0464694979,1.4247382863,0.06921619943809525,
ENSG00000100629,1401,1093,ok,24.0,2.5590119948,0.9921268861000001,0.7327520255000001,0.7622768945739132,0.2786817758373721,0.0065433627,0.3310263503,2.2214422818,0.07691091615416666,
ENSG00000101161,1510,940,ok,23.0,0.408933906,0.1161215731,0.0372272375,0.03972771983636364,0.12824601954135834,2.0391e-06,0.0037057658,0.4052261011,0.015499554795652175,
ENSG00000101189,435,200,ok,21.0,2.370016399,1.0786686688,0.1905871764,0.29434600777500003,0.03970030555050181,2.2269e-06,0.1652242005,2.2047899716,0.1083774297047619,
ENSG00000101190,609,479,ok,24.0,1.9633774604,0.7200280514999999,0.44355075810000005,0.4431999253043478,0.2647644165651643,2.0741e-06,0.1069237735,1.8564516128000002,0.06014770719166667,
ENSG00000101447,677,580,ok,21.0,2.4408689713,0.8162003165,0.7126927232,0.73346061791,0.3158674932433478,0.003628906,0.3675457929,2.0696942724,0.07951799085714287,
ENSG00000101557,598,493,ok,23.0,0.57211765,0.307005631,0.1018477786,0.11930364444545453,0.16492510552680903,0.0,0.0474742741,0.5246433759,0.020772221139130437,
ENSG00000101986,862,732,ok,24.0,1.121163288,0.34374486010000005,0.2959408844,0.30179976516956525,0.28779704522397814,2.335e-06,0.1389064046,0.9822545483999999,0.03327065860416666,
ENSG00000102098,1353,694,ok,22.0,4.0503088395,1.6560539982999998,0.7704214493,0.8524859072285713,0.3620601165517615,0.0014993018,0.1867568075,3.8620527302000003,0.1174478885909091,
ENSG00000103194,1568,794,ok,22.0,2.0431191397,0.6047118932,0.3313124102,0.39178429630000006,0.20040184277267384,0.0044322848,0.2212370244,1.8174498305,0.07425792268636364,
ENSG00000103266,709,303,ok,23.0,0.42339870739999996,0.2147665299,0.1427190843,0.14027435207272726,0.28720053527494543,2.6166e-06,0.0479567617,0.37543932909999994,0.013121668347826087,
ENSG00000103460,656,570,ok,22.0,0.7948796152000001,0.27438776899999995,0.1394950513,0.16976865110476191,0.21280110442565542,2.7155e-06,0.0722543756,0.7226225241,0.028442197963636364,
ENSG00000104142,1034,973,ok,24.0,0.5546523669,0.22493062819999998,0.19571052879999998,0.20188685335652173,0.19592550827353192,2.0038e-06,0.150416627,0.4042337360999999,0.018582575833333333,
ENSG00000105058,158,106,ok,18.0,0.5559946588,0.4282026342,0.1373734141,0.15241245907058823,0.17145323447125174,0.0,0.0420528205,0.5139418383,0.02559264312222222,
ENSG00000105135,852,630,ok,24.0,1.5169754751,0.4697489496,0.34822201610000003,0.38671450690000003,0.3064454538194531,0.0016794295,0.1255559785,1.3897400671,0.04383771821666666,
ENSG00000105321,868,570,ok,22.0,3.2941033944,1.4420261984,0.9590178396,0.9480000007238095,0.2505529081458391,0.0092990239,0.4532288845,2.8315754859999998,0.11221619132727273,
ENSG00000105538,1200,962,ok,23.0,2.4041836703,1.7335714634000001,0.2694008838,0.3585626422136363,0.03243437323999031,0.0036095254,0.252186445,2.1483876999000002,0.10113936868695653,
ENSG00000105639,1396,1100,ok,21.0,2.6094509301,1.3775880277,0.4849545166,0.56183509008,0.2112567026806955,0.001194636,0.2055337892,2.4027225049,0.09800890146666667,
ENSG00000105664,1048,751,ok,22.0,1.1660205432,0.43181796670000006,0.3048027379,0.3071010381095238,0.28769762819046707,0.0047673671,0.1218894651,1.039363711,0.03775269084090909,
ENSG00000105852,814,354,ok,24.0,3.1398422838999998,1.0440776352,0.8099676207000001,0.859586658621739,0.23807837745005916,2.383e-06,0.4272976098,2.7125422910999997,0.09967973864583334,
ENSG00000105976,1706,1380,ok,24.0,1.3467446131,0.4839362076999999,0.38857410899999995,0.3959985373782608,0.22029590778691344,0.0008225847,0.2497803177,1.0961417107,0.04375259525,
ENSG00000105982,467,347,ok,24.0,3.0679248428,0.9322472511,0.4632045695,0.5391290450043478,0.20942687383880135,0.0028996224,0.2139839806,2.8510412398,0.10105912224166667,
ENSG00000106624,1516,1078,ok,22.0,2.6038586841,0.8299002710000001,0.5359029750000001,0.5800249709190476,0.21530320090845212,0.0013063073,0.2595674415,2.3429849352999996,0.09287452612272727,
ENSG00000107104,1552,1347,ok,22.0,1.7944675139,0.5325753613,0.35023181179999996,0.3812144435,0.23754687811180666,0.006148855,0.1647953044,1.6235233545,0.06219078900454545,
ENSG00000107186,2278,2067,ok,23.0,1.4063142751,0.5364360906,0.3991163944,0.42740267918636365,0.21942193794346418,0.001529727,0.3324474518,1.0723370962999998,0.047727742239130434,
ENSG00000107719,1020,851,ok,23.0,2.3726738733,0.7283113719,0.590554263,0.6336225305545454,0.2016837935398359,0.0089178542,0.4840528389,1.8797031802000002,0.08235408720434782,
ENSG00000107736,3373,3352,ok,21.0,0.7093546485,0.2680736143,0.23552593340000003,0.239320172755,0.13833120302728236,0.0049599649,0.1979888113,0.5064058723,0.029106131742857144,
ENSG00000107745,645,474,ok,24.0,1.0282556449,0.5750113876,0.17522716450000003,0.19751617638695654,0.21276782499091146,2.0319e-06,0.0635591557,0.9646944572999999,0.03372816365833333,
ENSG00000107771,1116,1046,ok,24.0,2.8380055136999998,1.0648663080999998,0.7695143487999999,0.8169743994130434,0.20925162817099993,0.0040740379,0.4672565038,2.3666749719999998,0.09350617663333333,
ENSG00000107833,285,175,ok,20.0,2.3923663771,0.9194605003000001,0.3679780948,0.4532145150473685,0.13964204722061088,2.4033e-06,0.2419544376,2.1504095362,0.102914571925,
ENSG00000107968,603,467,ok,24.0,0.918844932,0.31128004359999994,0.11613830539999999,0.14581942033913045,0.1429320954234746,0.0046870959,0.0672034241,0.8469544119999999,0.032813020854166666,
ENSG00000108010,698,334,ok,22.0,2.5489664201,1.140377894,0.6390348365999999,0.6957209612714286,0.16070958176213596,0.0090069362,0.3866260585,2.1533334254,0.09724195876363638,
ENSG00000108375,1138,780,ok,24.0,2.6342200788,1.070315093,0.7655035325999999,0.8012062658173913,0.17839304406717288,0.007131204,0.5803270432,2.0467618316,0.09017889750833334,
ENSG00000108423,574,453,ok,24.0,1.3502537201,0.4211342899,0.3076179503,0.3119149677130435,0.26257936476838006,0.0043879336,0.1375186558,1.2083471307,0.0414877065,
ENSG00000108599,806,660,ok,24.0,1.2100639633999999,0.43372199259999994,0.16683388140000002,0.19713081262608698,0.19460653876373427,0.0030764526,0.0530949715,1.1538925393,0.040607400158333334,
ENSG00000109576,587,423,ok,21.0,2.6676362938000002,0.9806856796999999,0.4781898079,0.505329246805,0.2899097098796564,0.0022878063,0.0765909718,2.5887575157000002,0.09020298237142857,
ENSG00000109943,502,389,ok,23.0,4.3890040421,1.3588287917000001,0.7337334522000001,0.8524204995318182,0.1927812813531061,0.0075068429,0.407116394,3.9743808052,0.15403853126086958,
ENSG00000110756,1352,1117,ok,23.0,2.0680963261,0.8098382001,0.6634765229999999,0.6914642749318181,0.22853404391046075,0.0027677963,0.4474776116,1.6178509181999998,0.06936808302173914,
ENSG00000110851,1382,797,ok,23.0,0.5392121174,0.21676624809999998,0.1133115957,0.12309341158181818,0.21238098051688925,0.0012662423,0.0508151038,0.48713077129999993,0.018464944313043477,
ENSG00000111481,391,174,ok,22.0,3.0133178255,1.3040870538,0.0822030486,0.24107056383333333,0.08639421752891363,2.4114e-06,0.0638350499,2.9494803642000003,0.12513566317272729,
ENSG00000111669,393,286,ok,17.0,1.8581867633,0.9909788541,0.680612568,0.7183000602625,0.1284336770735407,2.7131e-06,0.5916748652,1.2665091849999999,0.09526664732941177,
ENSG00000111832,370,218,ok,16.0,0.5981222478,0.45524870869999995,0.42103013059999994,0.42701241228666664,0.14745325662838518,0.0,0.3517674197,0.24635482810000003,0.03187044840625,
ENSG00000111906,602,202,ok,24.0,2.6690487089,1.103814104,0.7521849695,0.772720069373913,0.17413008097238625,0.0121677068,0.4958671342,2.1610138679,0.09184529337916668,
ENSG00000112306,256,137,ok,15.0,0.0447487616,0.0447375792,0.0,0.0032118655214285713,0.0016607319921899248,0.0,0.0,0.0447487616,0.0029782963933333334,
ENSG00000112320,1033,868,ok,21.0,0.8355560681,0.4309166497,0.3356403029,0.35132294309999995,0.13055584522060393,0.0025580022,0.2759175392,0.5570805267000001,0.03459377806666667,
ENSG00000112874,594,461,ok,24.0,1.2235109208,0.4460479167,0.3215497172,0.31870126717391306,0.2318548582423082,0.0024843865,0.171818241,1.0492082933,0.0391597487375,
ENSG00000113558,285,147,ok,17.0,0.5045998543,0.2760113998,0.0,0.032008155275,0.014791552229744669,0.0,0.0,0.5045998543,0.02924329642352941,
ENSG00000113569,1481,1390,ok,24.0,0.5688873385,0.1830250751,0.1389794466,0.14639647313043477,0.23278447073400635,0.0030954411,0.0785884537,0.4872034436999999,0.018185800020833334,
ENSG00000113595,829,571,ok,23.0,0.4250421358,0.24434507619999998,0.15934148069999998,0.15783890389090907,0.1237714084533828,2.7124e-06,0.121753743,0.30328568040000004,0.016192785739130435,
ENSG00000113621,609,346,ok,23.0,3.0613254808,1.0854989519,0.7907055298000001,0.8639884032363636,0.2934838038408164,0.0032716247,0.351241664,2.7068121921,0.09403808843043478,
ENSG00000113734,472,217,ok,21.0,1.7887569586,0.8667649304,0.1988104965,0.25669616486,0.05278493304864564,2.1303e-06,0.1617479074,1.6270069209,0.08068274010952381,
ENSG00000114248,644,552,ok,21.0,3.3860142968,1.2259033403,0.8036654886,0.89276185722,0.2980832395048853,0.00529093,0.4361048959,2.9446184709,0.11317619934285714,
ENSG00000114446,549,409,ok,24.0,0.9441602047,0.4306984923,0.28864597270000003,0.2678628933043478,0.16370167968381014,0.0051883555,0.194320956,0.7446508932,0.032899983054166665,
ENSG00000114491,738,480,ok,23.0,2.2678303183,0.8659943463,0.6274095144999999,0.6743990439772727,0.14175402480772098,0.009054412,0.4852924587,1.7734834476000003,0.0846241844826087,
ENSG00000114541,1141,1034,ok,24.0,1.1399969428,0.39594993019999997,0.2673758411,0.28776824778695653,0.18983187917019384,0.0033405526,0.1670180913,0.9696382989,0.0384828825375,
ENSG00000114988,476,342,ok,23.0,1.0013842048,0.4675963071000001,0.3131368668,0.3379522915318182,0.30113528059914535,2.4316e-06,0.152339396,0.8490423771999999,0.030427482230434785,
ENSG00000115109,821,731,ok,23.0,2.2280383067,0.6596532887,0.5350836675999999,0.5532709530272727,0.2443427479064896,0.0028349902,0.2683496004,1.9568537160999995,0.0732014480173913,
ENSG00000115137,474,263,ok,24.0,0.9405289083,0.35192619500000005,0.20809125630000003,0.23806981225217397,0.26405462916487366,2.8636e-06,0.1518536725,0.7886723722,0.028840745675,
ENSG00000115216,675,535,ok,24.0,0.150444548,0.08979168269999999,0.07195565959999999,0.07627531864347825,0.2801428457214681,2.828e-06,0.0495670956,0.1008746244,0.004512441008333334,
ENSG00000115268,213,144,ok,20.0,4.1208626524,1.6928971053000001,8.1231e-06,0.22026972733684214,0.0102830020979517,2.7077e-06,0.0,4.120859944699999,0.20392439065499998,
ENSG00000115286,614,210,ok,21.0,2.6302665958,1.1447141097000002,0.38800012,0.44868298206499996,0.14096720541258526,2.1682e-06,0.2016451037,2.4286193239000005,0.10759453639523808,
ENSG00000115474,380,360,ok,24.0,0.890227605,0.3540645987,0.18932107839999998,0.2047936098347826,0.24040204347516275,0.0030409733,0.122087109,0.7650995227,0.0281756279,
ENSG00000115486,907,756,ok,24.0,1.7530577953,0.601188652,0.5265087815,0.5375104455608696,0.25868177633150735,0.0082590546,0.2874200517,1.4573786889999998,0.054148903783333334,
ENSG00000115568,2138,1802,ok,8.0,1.2505465452,1.1138707179,1.0090236684,1.0428543516,0.1257023231189364,0.0039072148,0.9681130981,0.27852623230000007,0.1366687424125,
ENSG00000115760,5079,4855,ok,23.0,0.3411821664,0.12303725110000001,0.09087820680000001,0.09526456015909092,0.2800202431682549,0.0013942606,0.0418262542,0.2979616516,0.01068018492173913,
ENSG00000115761,911,687,ok,23.0,0.7921701119,0.20258628540000004,0.12170180230000001,0.145616636,0.16916128163254426,2.4227e-06,0.0569368969,0.7352307923,0.028615895673913046,
ENSG00000115942,814,576,ok,24.0,1.7497927616,0.667384211,0.39776561460000004,0.43602898518260874,0.31895978903791117,0.0035660992,0.1659445947,1.5802820677,0.0496533013125,
ENSG00000116096,324,261,ok,22.0,2.7361104319,1.2434799186,0.7356061999999999,0.7451774972238094,0.14254030098820736,0.0086232456,0.5576381316,2.1698490547,0.10664111033636363,
ENSG00000116885,507,379,ok,24.0,1.6886075308,0.5078106238,0.2109230815,0.2442339072130435,0.16584866376103455,0.00843313,0.109300469,1.5708739318,0.058689759508333335,
ENSG00000116984,1379,1251,ok,24.0,1.2344810296,0.4888458351,0.3829813308,0.39162995617391305,0.20830262534153407,0.0008843989,0.2688752888,0.9647213418999999,0.040722307925,
ENSG00000117118,483,280,ok,19.0,1.7363827271,0.5990828824,0.26695520780000004,0.33660422437222226,0.1325483083354498,2.75e-06,0.1963834042,1.5399965729000002,0.07927516494736842,
ENSG00000117143,812,521,ok,23.0,0.9065334978,0.4001555078,0.274122743,0.2918434399045455,0.10753301531225556,2.8772e-06,0.2151706585,0.6913599621,0.0351761398826087,
ENSG00000117362,503,262,ok,24.0,2.0402888821,1.6795261318999999,1.3734749218,1.3999854980913042,0.006384357830050443,2.8707e-06,1.3690946017,0.6711914097,0.08446928949166667,
ENSG00000117758,490,269,ok,21.0,0.827686722,0.3378147029,0.1792956344,0.20847960852999997,0.17263037197786532,2.8218e-06,0.1456791415,0.6820047587,0.03260965977619047,
ENSG00000118257,970,926,ok,24.0,0.8447996613,0.3045850668,0.2652074499,0.27298318809130434,0.22961593616349146,0.0023887219,0.1460786347,0.6963323047000001,0.027117508175,
ENSG00000118363,395,226,ok,23.0,2.5793646892,1.3719856119,0.5134297626,0.5714144365409091,0.09523717414934052,2.0851e-06,0.3304042746,2.2489583294999997,0.10146579500434783,
ENSG00000118689,905,672,ok,24.0,0.7498261954000001,0.3611192065,0.3086195315,0.3153769223869565,0.2311476892422262,2.4545e-06,0.2010702034,0.5487535375,0.024021066791666667,
ENSG00000118939,298,294,ok,19.0,0.5578530371,0.28909374660000003,0.05816524540000001,0.0851642418,0.09098216703067225,2.6663e-06,0.0208209921,0.5370293787,0.026689387310526315,
ENSG00000119431,380,241,ok,24.0,2.9604653578,0.7921484964,0.7054626648,0.7082323749652173,0.2411201881215271,0.0046256126,0.3542518936,2.6015878516,0.09360989140833333,
ENSG00000119471,867,417,ok,24.0,1.9387336923,0.4917291619,0.33137755669999996,0.34193493377391304,0.21184891877168932,2.1734e-06,0.1310209219,1.807710597,0.06366729399166667,
ENSG00000119616,257,197,ok,17.0,0.2519075433,0.1903590334,0.0405818397,0.054491794649999994,0.15599835155869268,2.2457e-06,0.0236355776,0.22826971999999995,0.012506493047058823,
ENSG00000119630,729,161,ok,24.0,5.3561616698,1.9414033541,0.8216946664000001,0.7319379632086956,0.28823106406675103,0.1983954364,0.2497954642,4.907970769199999,0.15884789551666667,
ENSG00000119698,1040,872,ok,22.0,1.2705397066,0.6165372824,0.5151783702,0.5424917937761905,0.1752266605628333,0.0011963937,0.4273719726,0.8419713403,0.047632148940909086,
ENSG00000119699,636,453,ok,24.0,0.6283843928,0.32008873889999995,0.1521291426,0.18790441771739128,0.44435441363495304,2.0799e-06,0.0788939061,0.5494884068,0.014548292266666665,
ENSG00000119725,608,471,ok,24.0,0.9871771314,0.5196752537,0.5077738714,0.4857770170521739,0.19825739644357404,0.0135782869,0.3722949227,0.6013039218,0.0329775818125,
ENSG00000119820,383,230,ok,23.0,0.2117296911,0.08501518120000001,0.0416512294,0.046002909422727285,0.1291166456531046,2.0661e-06,0.0328124747,0.1789151503,0.008017037547826086,
ENSG00000120451,1169,967,ok,24.0,2.7971433607,1.2539864074,1.1577139330000001,1.1753072441304346,0.20629532544073584,0.0101097579,0.9172009466,1.8698326561999998,0.0925044067,
ENSG00000120837,398,205,ok,22.0,0.2417394342,0.1341423079,0.0206753348,0.028510020790476192,0.12796970259476184,2.1968e-06,0.0051150197,0.2366222177,0.009582005031818181,
ENSG00000120915,689,555,ok,23.0,3.4576152461,1.1342157282,0.8843011698,0.9117683839045454,0.2801799238630445,0.0074310205,0.4645548788,2.9856293468,0.10821134216086956,
ENSG00000121940,744,528,ok,23.0,3.6970154658,1.2946594671,0.8816810815999999,0.9631518713454544,0.19735357142795107,0.0061768833,0.6039274706,3.0869111118999997,0.1290172286956522,
ENSG00000122042,380,117,ok,23.0,12.5401563584,11.301517570699998,0.36184884409999984,0.9176765424181816,0.006030160497109483,0.0,0.3490250866,12.191131271800002,0.541936400126087,
ENSG00000122068,421,314,ok,22.0,1.2242120759,0.6260019481,0.4508501454,0.45276493646190474,0.24490554292203418,2.5598e-06,0.2138672427,1.0103422734,0.04201798876363636,
ENSG00000122203,546,304,ok,21.0,1.6098736423,0.6206190022,0.3719600851,0.38827222410499995,0.24077450491469546,0.0066824238,0.266595249,1.3365959694999998,0.05820271967142857,
ENSG00000122367,954,662,ok,23.0,1.7091440934,0.5330943639000001,0.38245675520000005,0.3969144345090909,0.185203947064701,2.4765e-06,0.2071335453,1.5020080716,0.06054799396521739,
ENSG00000122512,1043,862,ok,22.0,3.3636181736,0.9974435423,0.6068122944000001,0.6699408719095239,0.24606535447338387,0.0229591107,0.2709358717,3.0697231912,0.11527037615454545,
ENSG00000122694,468,148,ok,20.0,1.2947985384,0.7251313186999999,0.1691374311,0.2056497589368421,0.09152697163718083,0.0069445831,0.0861832287,1.2016707266000002,0.058814477465,
