arm,condition,predictor,role,n,wls_beta_per_sd,wls_se,wls_p,wls_quad_per_sd2,wls_quad_se,wls_quad_p,confirmatory,spearman_rho,spearman_p,spearman_rho_partial,spearman_p_partial
stage4_cds_mean_blocks27,add_own,focal_residual,primary,398,0.0316,0.0277,0.254005765937957,-0.0051,0.0055,0.3578408820400334,True,0.069,0.1702752345759736,0.129,0.009743291557036883
stage4_cds_mean_blocks27,add_own,human_residual,primary,398,0.0176,0.0479,0.7135997058774499,-0.0012,0.0045,0.7977616165428764,False,0.076,0.12842487814679804,0.053,0.29242583317897913
stage4_cds_mean_blocks27,add_own,tree_len,legacy,398,-0.074,0.0299,0.01333206434528346,0.0067,0.0071,0.347381186332718,False,-0.104,0.03796533142745909,-0.047,0.3522299562913628
stage4_cds_mean_blocks27,add_own,diameter,legacy,398,-0.0955,0.0473,0.04353887297713787,0.008,0.006,0.18362892683139664,False,-0.078,0.11876069337538872,0.008,0.8725094220423577
stage4_cds_mean_blocks27,add_own,focal_target_dist,legacy,398,-0.0306,0.0254,0.2273077778790632,0.0032,0.0053,0.5497075521004984,False,-0.033,0.5151963362068316,0.026,0.6070650254519419
stage4_cds_mean_blocks27,add_own,mean_target_dist,legacy,398,-0.0355,0.0251,0.15724243772034183,0.0037,0.0057,0.5209574615943557,False,-0.051,0.30974384723136683,0.013,0.7944957045781311
stage4_cds_mean_blocks27,add_own,treeness,legacy,398,-0.0386,0.0217,0.0746438090649056,-0.0161,0.0142,0.2572892338369861,True,-0.068,0.17336112111124685,-0.119,0.017300020283132822
stage4_cds_mean_blocks27,add_own,dN_background_yn,dnds_primary,381,-0.0319,0.0257,0.21305512020824935,-0.0025,0.013,0.8488994258082516,False,-0.053,0.30577841619120416,0.004,0.9324175030075383
stage4_cds_mean_blocks27,add_own,omega_background_yn,dnds_primary,381,0.0211,0.0261,0.4186941908928766,-0.0057,0.01,0.5721227706094401,False,0.068,0.18412688445127184,0.088,0.08702029752154579
stage4_cds_mean_blocks27,add_own,dN_hp_yn,dnds_primary,381,0.0224,0.026,0.3884842190667006,-0.0207,0.0153,0.1759737617581969,True,0.024,0.6361744118578703,0.073,0.15678339448509812
stage4_cds_mean_blocks27,add_own,omega_hp_yn,dnds_primary,381,-0.0232,0.0286,0.41789771300953005,-0.0025,0.0131,0.8467629526750449,False,-0.01,0.839331470155705,0.013,0.7961702071059967
stage4_cds_mean_blocks27,add_own,omega_m0,dnds_primary,382,-0.0055,0.025,0.8255355378462638,-0.0056,0.0116,0.6256006842088435,False,0.012,0.8107023491578236,0.06,0.24020835205493377
stage4_cds_mean_blocks27,add_own,omega_plat_m2,dnds_primary,382,-0.2811,0.2098,0.18034418137795827,0.0228,0.0192,0.23596402065060862,False,-0.023,0.6508437970087337,-0.025,0.631271987763535
stage4_cds_mean_blocks27,add_own,omega_bg_m2,dnds_primary,382,0.0002,0.0252,0.9938039637655754,-0.0066,0.0114,0.5646114421268589,False,0.026,0.6163885914508933,0.076,0.13613184424261224
stage4_cds_mean_blocks27,add_own,dS_background_yn,dnds_negative_control,381,-0.14,0.0322,1.4208763464460322e-05,0.0328,0.0155,0.03433612073817398,False,-0.254,4.833583547938891e-07,-0.227,7.934521130876081e-06
stage4_cds_mean_blocks27,add_own,dS_hp_yn,dnds_negative_control,381,0.0594,0.0302,0.04920208287816087,-0.0023,0.0126,0.8541892042896847,True,0.073,0.15354370402597078,0.107,0.036034146775986174
stage4_cds_mean_blocks27,add_own,tree_dS_m0,dnds_negative_control,382,-0.0886,0.0319,0.005485660331306012,0.0088,0.0062,0.15183498723369107,False,-0.171,0.0008046806516556404,-0.142,0.0055363790476620385
stage4_cds_mean_blocks27,add_own,perc_id_hp,frame,398,0.0337,0.0215,0.11738547792138987,-0.0006,0.0196,0.9752561217078887,False,0.077,0.12417625527985383,0.025,0.6221803027487378
