gene,status,fr_status,yn_status,n_taxa,n_codons,yn_n_pairs,dN_hp_yn,dS_hp_yn,omega_hp_yn,dN_background_yn,dS_background_yn,omega_background_yn,yn_n_background_pairs,lnL_m0,np_m0,omega_m0,kappa_m0,tree_len_m0,tree_dN_m0,tree_dS_m0,dN_human_m0,dS_human_m0,omega_human_m0,dN_platypus_m0,dS_platypus_m0,omega_platypus_m0,dN_background_m0,dS_background_m0,omega_background_m0,n_branches_m0,lnL_m2,np_m2,tree_dN_m2,tree_dS_m2,omega_bg_m2,omega_plat_m2,dN_human_m2,dS_human_m2,omega_human_m2,dN_platypus_m2,dS_platypus_m2,omega_platypus_m2,dN_background_m2,dS_background_m2,omega_background_m2,n_branches_m2,lrt_m2_vs_m0,lrt_p_m2_vs_m0,m2_converged,dS_saturated
ENSG00000085382,ok,not_requested,ok,22,909,231.0,0.0266,0.8866,0.03,0.019022105263157896,0.3405,0.0359,190.0,-12928.706953,44,0.05611,2.46367,2.782479,0.1761,3.1383,0.0001,0.0026,0.0561,0.0157,0.2799,0.0561,0.1604,2.8555,0.05617229907196637,42,-12922.807329,45.0,0.176,3.1655,0.06073,0.03119,0.0002,0.0026,0.0607,0.0172,0.5503,0.0312,0.1584,2.6124,0.06063389986219569,42.0,11.79924800000299,0.000592546508226179,True,False
ENSG00000086475,ok,not_requested,ok,22,389,231.0,0.0019,1.519,0.0012,0.021283684210526316,0.6464794736842105,0.008199999999999999,190.0,-6551.327035,44,0.03129,3.11806,4.3559,0.151,4.8259,0.0001,0.0046,0.0313,0.0039,0.1242,0.0313,0.1472,4.6971,0.031338485448468206,42,-6539.293562,45.0,0.1514,4.8691,0.03542,0.0001,0.0002,0.0046,0.0354,0.0001,0.5966,0.0001,0.1511,4.2679,0.035403828580800864,42.0,24.066946000000826,9.30438045547756e-07,True,False
ENSG00000087303,ok,not_requested,ok,24,1404,276.0,0.1205,1.7769,0.0678,0.06582164502164502,0.43652857142857143,0.1389,231.0,-36099.870604,48,0.2296,2.963,7.049221,1.2406,5.4034,0.0019,0.0081,0.2296,0.0,0.0,0.2296,1.239,5.3947,0.22966986116002744,46,-36099.870604,49.0,1.2406,5.4034,0.2296,0.32712,0.0019,0.0081,0.2296,0.0,0.0,0.3271,1.239,5.3948,0.229665603914881,46.0,0.0,1.0,True,False
ENSG00000087502,ok,not_requested,ok,23,373,253.0,0.042,1.0163,0.0414,0.03425761904761905,0.2860985714285714,0.0798,210.0,-5744.448765,46,0.12428,2.45219,2.939434,0.3679,2.9604,0.0011,0.0087,0.1243,0.0235,0.1889,0.1243,0.3433,2.7627,0.12426249683280848,44,-5733.567157,47.0,0.3671,3.0,0.14,0.03904,0.0012,0.0083,0.14,0.0205,0.5243,0.039,0.3455,2.4676,0.14001458907440426,44.0,21.763215999999375,3.084576666494994e-06,True,False
ENSG00000090621,ok,not_requested,ok,19,644,171.0,0.0719,0.7323,0.0982,0.11111985294117648,0.4109919117647059,0.08335000000000001,136.0,-9760.569635,38,0.08026,2.41639,4.734413,0.381,4.7476,0.0001,0.0016,0.0803,0.0102,0.1266,0.0803,0.3708,4.6194999999999995,0.08026842731897393,36,-9745.537473,39.0,0.3825,4.6592,0.09108,0.0001,0.0001,0.0016,0.0911,0.0,0.4602,0.0001,0.3822,4.1976,0.091052029731275,36.0,30.064323999999033,4.179498894309646e-08,True,False
ENSG00000090686,ok,not_requested,ok,24,1031,276.0,0.0374,0.7486,0.05,0.0187021645021645,0.4161073593073593,0.0392,231.0,-17226.123441,48,0.05422,2.30716,3.716485,0.228,4.2057,0.0,0.0,0.0542,0.0096,0.1764,0.0542,0.2185,4.0292,0.054229127370197555,46,-17226.123441,49.0,0.228,4.2057,0.05422,2.03472,0.0,0.0,0.0542,0.0,0.0,2.0347,0.2281,4.2056000000000004,0.054237207532813386,46.0,0.0,1.0,True,False
ENSG00000092036,ok,not_requested,ok,21,363,210.0,0.1946,1.3315,0.1462,0.08571695906432748,0.44232748538011696,0.2063,171.0,-7762.805379,42,0.16644,3.09342,5.436573,0.7794,4.6825,0.0008,0.0047,0.1664,0.0514,0.3087,0.1664,0.7273000000000001,4.369,0.16646829938200963,40,-7762.80538,43.0,0.7793,4.6825,0.16644,1.71706,0.0008,0.0047,0.1664,0.0,0.0,1.7171,0.7787,4.6777999999999995,0.16646714267390655,40.0,-1.999998858082108e-06,1.0,True,False
ENSG00000099814,ok,not_requested,ok,22,1468,231.0,0.2043,4.2043,0.0486,0.12115684210526316,1.3022668421052632,0.08505,190.0,-39670.583945,44,0.12311,3.79671,8.85601,1.1386,9.2484,0.0022,0.0178,0.1231,0.0097,0.0786,0.1231,1.1269,9.1522,0.12312886519088306,42,-39670.583946,45.0,1.1386,9.2485,0.12311,26.55779,0.0022,0.0178,0.1231,0.0,0.0,26.5578,1.1366,9.2308,0.1231312562291459,42.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000100060,ok,not_requested,ok,22,320,231.0,0.1047,0.6744,0.1553,0.09562526315789474,0.8093373684210526,0.08715,190.0,-7961.000403,44,0.14559,3.11371,7.014886,1.0302,7.0765,0.0019,0.0129,0.1456,0.0162,0.1116,0.1456,1.0124,6.9519,0.14562925243458621,42,-7961.000403,45.0,1.0302,7.0765,0.14558,0.48745,0.0019,0.0129,0.1456,0.0,0.0,0.4875,1.0286,7.0635,0.14562185885184398,42.0,0.0,1.0,True,False
ENSG00000100207,ok,not_requested,ok,23,1938,253.0,0.142,2.9751,0.0477,0.03714857142857143,0.43928904761904763,0.0875,210.0,-37045.748013,46,0.09518,3.1659,5.132346,0.4599,4.8322,0.0002,0.0026,0.0952,0.0126,0.1324,0.0952,0.44680000000000003,4.697,0.09512454758356398,44,-37045.748013,47.0,0.4599,4.8322,0.09518,0.27864,0.0002,0.0026,0.0952,0.0,0.0,0.2786,0.4595,4.8293,0.0951483651875013,44.0,0.0,1.0,True,False
ENSG00000100239,ok,not_requested,ok,24,839,276.0,0.0662,0.949,0.0698,0.07098181818181819,0.684517316017316,0.10255,231.0,-21704.302097,48,0.16118,3.5022,7.253606,1.0969,6.8055,0.0009,0.0058,0.1612,0.0,0.0,0.1612,1.0957000000000001,6.7999,0.16113472256944958,46,-21704.302097,49.0,1.0969,6.8055,0.16118,0.5221,0.0009,0.0058,0.1612,0.0,0.0,0.5221,1.0957000000000001,6.7999,0.16113472256944958,46.0,0.0,1.0,True,False
ENSG00000100350,ok,not_requested,ok,24,653,276.0,0.1273,1.8892,0.0674,0.07866883116883117,0.9447090909090909,0.0913,231.0,-15945.458178,48,0.10631,3.49728,6.456188,0.8204,7.7171,0.0017,0.016,0.1063,0.0152,0.1429,0.1063,0.8031,7.5583,0.1062540518370533,46,-15939.40984,49.0,0.8226,7.8833,0.1104,0.0001,0.0017,0.0158,0.1104,0.0,0.4332,0.0001,0.8207,7.4347,0.11038777623844942,46.0,12.096676000001025,0.0005051179084139069,True,False
